Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Category,Outlet_Years,sales
FDT21,7.42,Low Fat,0.020374875,Snack Foods,248.0092,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
DRE49,20.75,Low Fat,0.035568147,Soft Drinks,151.8024,OUT010,"",Tier 3,Grocery Store,Drinks,15,<=2k
FDN16,12.6,Regular,0.062797771,Frozen Foods,103.999,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDE04,19.75,Regular,0.018096488,Frozen Foods,179.56599999999997,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,>2k
FDC51,10.895,Regular,0.009613854,Dairy,122.973,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDO04,16.6,Low Fat,0.026645307000000003,Frozen Foods,53.5614,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDD41,6.765,Regular,0.08775368199999999,Frozen Foods,105.3306,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
FDI45,13.1,Low Fat,0.037657459,Fruits and Vegetables,175.8054,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
NCB18,"",Low Fat,0.041091215,Household,89.5514,OUT027,Medium,Tier 3,Supermarket Type3,Non-Consumable,28,>2k
FDW51,6.155,Regular,0.095195306,Meat,213.956,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
NCK07,10.65,Low Fat,0.048686689000000005,Others,164.1526,OUT046,Small,Tier 1,Supermarket Type1,Non-Consumable,16,<=2k
FDZ45,"",Low Fat,0.11709121300000001,Snack Foods,197.9084,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
FDB37,20.25,Regular,0.022940826,Baking Goods,241.8538,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDZ60,20.5,Low Fat,0.119339241,Baking Goods,106.0596,OUT035,Small,Tier 2,Supermarket Type1,Food,9,<=2k
FDN04,11.8,Regular,0.014075333999999998,Frozen Foods,176.8344,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
FDW47,15.0,Low Fat,0.046336634,Breads,120.0414,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
FDB17,13.15,Low Fat,0.036641589,Frozen Foods,180.7976,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
FDR56,15.5,Regular,0.101176316,Fruits and Vegetables,198.9768,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,>2k
FDU55,"",Low Fat,0.035737372999999996,Fruits and Vegetables,260.6278,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDH40,11.6,Regular,0.079376029,Frozen Foods,81.7276,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
FDH05,14.35,Regular,0.091054989,Frozen Foods,231.8984,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,>2k
FDX58,13.15,Low Fat,0.043852434,Snack Foods,182.695,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
FDC51,10.895,Regular,0.009620041999999999,Dairy,121.67299999999999,OUT035,Small,Tier 2,Supermarket Type1,Food,9,<=2k
NCR05,10.1,Low Fat,0.054939848,Health and Hygiene,199.5084,OUT017,"",Tier 2,Supermarket Type1,Non-Consumable,6,>2k
DRH25,18.7,Low Fat,0.014675573999999999,Soft Drinks,50.8324,OUT017,"",Tier 2,Supermarket Type1,Drinks,6,<=2k
NCR53,12.15,Low Fat,0.14526636,Health and Hygiene,224.0404,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,>2k
FDS04,10.195,Regular,0.14666293800000002,Frozen Foods,138.6838,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDC03,8.575,Regular,0.07178670599999999,Dairy,193.3794,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDP44,16.5,Regular,0.133424184,Fruits and Vegetables,102.2332,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDK16,9.065,Low Fat,0.11579959199999999,Frozen Foods,95.3094,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
NCC30,16.6,Low Fat,0.027579198,Household,178.7344,OUT046,Small,Tier 1,Supermarket Type1,Non-Consumable,16,<=2k
FDZ26,11.6,Regular,0.241055611,Dairy,238.5222,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
NCO54,19.5,Low Fat,0.014332438999999999,Household,57.1614,OUT018,Medium,Tier 3,Supermarket Type2,Non-Consumable,4,<=2k
NCP41,16.6,Low Fat,0.027133398,Health and Hygiene,106.2596,OUT010,"",Tier 3,Grocery Store,Non-Consumable,15,<=2k
DRE27,11.85,Low Fat,0.132876847,Dairy,98.0726,OUT049,Medium,Tier 1,Supermarket Type1,Drinks,14,<=2k
FDQ10,12.85,Low Fat,0.03315162,Snack Foods,170.6422,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
NCU42,9.0,Low Fat,0.019536981000000002,Household,170.0474,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,>2k
FDX43,5.655,Low Fat,0.085258864,Fruits and Vegetables,165.85,OUT035,Small,Tier 2,Supermarket Type1,Food,9,<=2k
NCD19,8.93,Low Fat,0.013179388,Household,55.1614,OUT046,Small,Tier 1,Supermarket Type1,Non-Consumable,16,<=2k
NCI54,15.2,Low Fat,0.033592687,Household,108.1912,OUT035,Small,Tier 2,Supermarket Type1,Non-Consumable,9,<=2k
FDS37,7.655,Low Fat,0.05346916,Canned,114.1492,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDO25,"",Low Fat,0.126831854,Canned,209.02700000000002,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDS57,15.5,Low Fat,0.103603094,Snack Foods,143.547,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDI52,18.7,Low Fat,0.10484088400000001,Frozen Foods,122.1072,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
DRK12,9.5,Low Fat,0.042056944000000006,Soft Drinks,31.89,OUT018,Medium,Tier 3,Supermarket Type2,Drinks,4,<=2k
FDG40,13.65,Low Fat,0.040049609,Frozen Foods,34.4558,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
FDU49,19.5,Regular,0.03075661,Canned,86.25399999999999,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
FDR49,8.71,Low Fat,0.0,Canned,46.5376,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDF40,"",Regular,0.03941584,Dairy,247.8092,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
DRE03,19.6,Low Fat,0.024363938999999998,Dairy,46.3718,OUT017,"",Tier 2,Supermarket Type1,Drinks,6,<=2k
FDR55,"",Regular,0.131443921,Fruits and Vegetables,189.1872,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
NCU05,11.8,Low Fat,0.05872513099999999,Health and Hygiene,82.3618,OUT035,Small,Tier 2,Supermarket Type1,Non-Consumable,9,<=2k
FDR36,6.715,Regular,0.122274118,Baking Goods,40.3454,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
NCM30,19.1,Low Fat,0.067239404,Household,39.6796,OUT013,High,Tier 3,Supermarket Type1,Non-Consumable,26,<=2k
FDH24,20.7,Low Fat,0.021464453999999997,Baking Goods,156.6288,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,>2k
DRO47,10.195,Low Fat,0.112681821,Hard Drinks,113.986,OUT018,Medium,Tier 3,Supermarket Type2,Drinks,4,<=2k
FDQ49,20.2,Regular,0.039469737000000005,Breakfast,155.16299999999998,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
DRJ37,10.8,Low Fat,0.061101382999999995,Soft Drinks,151.9024,OUT046,Small,Tier 1,Supermarket Type1,Drinks,16,>2k
NCJ42,19.75,Low Fat,0.014359584,Household,100.8332,OUT018,Medium,Tier 3,Supermarket Type2,Non-Consumable,4,<=2k
FDD05,19.35,Low Fat,0.016637301,Frozen Foods,120.9098,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDC39,7.405,Low Fat,0.159843921,Dairy,206.6296,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,>2k
NCY06,15.25,Low Fat,0.061308889000000005,Household,128.8968,OUT045,"",Tier 2,Supermarket Type1,Non-Consumable,11,>2k
NCS06,"",Low Fat,0.055566935,Household,263.591,OUT019,Small,Tier 1,Grocery Store,Non-Consumable,28,<=2k
FDE16,8.895,Low Fat,0.026397141000000002,Frozen Foods,207.8954,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
NCQ50,18.75,Low Fat,0.034307348,Household,215.2218,OUT046,Small,Tier 1,Supermarket Type1,Non-Consumable,16,>2k
FDX50,20.1,Low Fat,0.07462720099999999,Dairy,110.3228,OUT046,Small,Tier 1,Supermarket Type1,Food,16,<=2k
NCL41,12.35,Low Fat,0.041973712,Health and Hygiene,35.7216,OUT017,"",Tier 2,Supermarket Type1,Non-Consumable,6,<=2k
FDM58,16.85,Regular,0.080015028,Snack Foods,111.8544,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDH35,18.25,Low Fat,0.10084386,Starchy Foods,166.3526,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDS50,17.0,Low Fat,0.055519560999999995,Dairy,219.8114,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDT09,"",Regular,0.012203915,Snack Foods,133.2284,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDR60,14.3,Low Fat,0.130946374,Baking Goods,76.7328,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDG22,17.6,Regular,0.041381156,Snack Foods,35.019,OUT046,Small,Tier 1,Supermarket Type1,Food,16,<=2k
FDL52,"",Regular,0.04586701,Frozen Foods,37.9506,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,<=2k
DRJ39,20.25,Low Fat,0.036474041,Dairy,218.3482,OUT018,Medium,Tier 3,Supermarket Type2,Drinks,4,>2k
FDW45,18.0,Low Fat,0.039231652,Snack Foods,145.1418,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
NCQ38,16.35,Low Fat,0.013393536999999999,Others,106.02799999999999,OUT045,"",Tier 2,Supermarket Type1,Non-Consumable,11,<=2k
FDB26,14.0,Regular,0.031444357,Canned,53.763999999999996,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
DRG48,5.78,Low Fat,0.014555066,Soft Drinks,145.2102,OUT046,Small,Tier 1,Supermarket Type1,Drinks,16,>2k
FDH10,21.0,Low Fat,0.082526478,Snack Foods,191.8478,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDP28,13.65,Regular,0.080765853,Frozen Foods,262.8936,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,>2k
FDJ44,12.3,Regular,0.17797002,Fruits and Vegetables,173.1396,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDI07,12.35,Regular,0.03382933,Meat,196.9426,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
DRJ24,11.8,Low Fat,0.11397026,Soft Drinks,185.1924,OUT017,"",Tier 2,Supermarket Type1,Drinks,6,>2k
DRL47,19.7,Low Fat,0.038729457,Hard Drinks,127.3362,OUT035,Small,Tier 2,Supermarket Type1,Drinks,9,<=2k
FDP38,10.1,Low Fat,0.032075379,Canned,50.9008,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDK02,"",Low Fat,0.196490902,Canned,120.544,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
FDO23,17.85,Low Fat,0.146305498,Breads,94.1436,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
NCE54,20.7,Low Fat,0.026877471,Household,74.6354,OUT013,High,Tier 3,Supermarket Type1,Non-Consumable,26,<=2k
FDS52,8.89,Low Fat,0.005474515,Frozen Foods,99.7016,OUT046,Small,Tier 1,Supermarket Type1,Food,16,<=2k
FDW01,14.5,Low Fat,0.064048405,Canned,153.4682,OUT035,Small,Tier 2,Supermarket Type1,Food,9,<=2k
NCF07,9.0,Low Fat,0.032203667000000005,Household,100.8016,OUT017,"",Tier 2,Supermarket Type1,Non-Consumable,6,<=2k
DRE15,13.35,Low Fat,0.017857847,Dairy,77.5012,OUT018,Medium,Tier 3,Supermarket Type2,Drinks,4,<=2k
FDR58,6.675,Low Fat,0.041921462,Snack Foods,92.3462,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDL24,10.3,Regular,0.024875871,Baking Goods,173.0422,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
FDQ25,"",Regular,0.028139761,Canned,173.7422,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDX56,17.1,Regular,0.073997843,Fruits and Vegetables,207.0638,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
FDD20,14.15,Low Fat,0.020798905,Fruits and Vegetables,123.6046,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
DRF60,10.8,Low Fat,0.052363244,Soft Drinks,236.5564,OUT017,"",Tier 2,Supermarket Type1,Drinks,6,>2k
FDW13,8.5,Low Fat,0.098283459,Canned,51.3324,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDF09,6.215,Low Fat,0.012138795,Fruits and Vegetables,39.2848,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDY45,17.5,Low Fat,0.0,Snack Foods,253.0356,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDR26,20.7,Low Fat,0.042923652,Dairy,178.3028,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
FDZ01,8.975,Regular,0.009058845,Canned,103.399,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDH53,20.5,Regular,0.032136417,Frozen Foods,83.9592,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDG52,13.65,Low Fat,0.065898197,Frozen Foods,46.1402,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDW50,13.1,Low Fat,0.075731322,Dairy,167.5158,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
FDX49,4.615,Regular,0.101812521,Canned,232.23,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDJ44,12.3,Regular,0.106327251,Fruits and Vegetables,172.8396,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
NCI31,"",Low Fat,0.080933328,Others,37.519,OUT027,Medium,Tier 3,Supermarket Type3,Non-Consumable,28,<=2k
FDZ52,19.2,Low Fat,0.100055601,Frozen Foods,112.4886,OUT035,Small,Tier 2,Supermarket Type1,Food,9,<=2k
FDE17,20.1,Regular,0.054540159000000005,Frozen Foods,152.1366,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDG34,11.5,Regular,0.037723476,Snack Foods,109.5254,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDE26,9.3,Low Fat,0.14897741,Canned,143.0786,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDD56,15.2,Regular,0.104201019,Fruits and Vegetables,176.5054,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,>2k
FDR52,12.65,Regular,0.076198809,Frozen Foods,191.3846,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
FDQ13,11.1,Low Fat,0.010639596000000001,Canned,84.1908,OUT035,Small,Tier 2,Supermarket Type1,Food,9,<=2k
NCJ42,"",Low Fat,0.025039776,Household,102.7332,OUT019,Small,Tier 1,Grocery Store,Non-Consumable,28,<=2k
FDH10,"",Low Fat,0.08632670699999999,Snack Foods,192.6478,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
NCG42,19.2,Low Fat,0.041220035,Household,131.231,OUT035,Small,Tier 2,Supermarket Type1,Non-Consumable,9,>2k
FDT31,19.75,Low Fat,0.01247354,Fruits and Vegetables,187.5872,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
DRD25,6.135,Low Fat,0.07913221200000001,Soft Drinks,112.686,OUT045,"",Tier 2,Supermarket Type1,Drinks,11,>2k
FDR35,12.5,Low Fat,0.020693809,Breads,199.1742,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDL33,7.235,Low Fat,0.10016525,Snack Foods,193.9452,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
FDT45,15.85,Low Fat,0.057302606,Snack Foods,53.3956,OUT035,Small,Tier 2,Supermarket Type1,Food,9,<=2k
FDT16,9.895,Regular,0.048761045999999995,Frozen Foods,260.5278,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
DRE49,20.75,Low Fat,0.0,Soft Drinks,153.0024,OUT035,Small,Tier 2,Supermarket Type1,Drinks,9,>2k
DRF60,10.8,Low Fat,0.052149675,Soft Drinks,239.9564,OUT049,Medium,Tier 1,Supermarket Type1,Drinks,14,>2k
NCB54,8.76,Low Fat,0.05013052900000001,Health and Hygiene,128.3336,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,>2k
FDH20,16.1,Regular,0.024987903,Fruits and Vegetables,97.34100000000001,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDA31,7.1,Low Fat,0.109990885,Fruits and Vegetables,172.908,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDE33,19.35,Regular,0.049736267,Fruits and Vegetables,76.8644,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
FDM12,16.7,Regular,0.117026714,Baking Goods,189.2214,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDW44,9.5,Regular,0.035121963,Fruits and Vegetables,168.6448,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
DRE48,8.43,Low Fat,0.017311312,Soft Drinks,197.8768,OUT013,High,Tier 3,Supermarket Type1,Drinks,26,>2k
NCX18,14.15,Low Fat,0.008811818,Household,196.511,OUT045,"",Tier 2,Supermarket Type1,Non-Consumable,11,>2k
FDA38,5.44,Low Fat,0.025583714,Dairy,239.1538,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDQ19,7.35,Regular,0.014353174,Fruits and Vegetables,242.6512,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDY47,"",Regular,0.054220618,Breads,129.131,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDE17,20.1,Regular,0.054410179,Frozen Foods,151.3366,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
FDY25,12.0,Low Fat,0.033974436000000004,Canned,181.8976,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDT03,21.25,Low Fat,0.009996872,Meat,185.5608,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDB49,8.3,Regular,0.030212499,Baking Goods,98.0384,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
FDL43,10.1,Low Fat,0.027217467999999998,Meat,76.067,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
FDE47,14.15,Low Fat,0.038123176,Starchy Foods,123.5046,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
FDS49,9.0,Low Fat,0.079506434,Canned,78.3644,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
FDU23,12.15,Low Fat,0.021811987,Breads,163.6184,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,>2k
FDU38,"",Low Fat,0.082150145,Dairy,192.9504,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDV09,"",Low Fat,0.036012919,Snack Foods,148.0734,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
FDR20,20.0,Regular,0.028167478,Fruits and Vegetables,45.5744,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDY11,6.71,Regular,0.029560451,Baking Goods,65.8142,OUT046,Small,Tier 1,Supermarket Type1,Food,16,<=2k
FDG40,"",Low Fat,0.039631495,Frozen Foods,31.9558,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,<=2k
FDX20,7.365,Low Fat,0.04280099,Fruits and Vegetables,228.372,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
FDZ27,7.935,Low Fat,0.017141985,Dairy,50.035,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDH09,12.6,Low Fat,0.056394770999999996,Seafood,51.3982,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
FDG29,17.6,Low Fat,0.056379439,Frozen Foods,42.7454,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
NCA30,19.0,Low Fat,0.129534812,Household,190.1872,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,>2k
NCL53,7.5,Low Fat,0.036439877999999995,Health and Hygiene,175.3028,OUT017,"",Tier 2,Supermarket Type1,Non-Consumable,6,>2k
DRE15,13.35,Low Fat,0.0,Dairy,77.6012,OUT046,Small,Tier 1,Supermarket Type1,Drinks,16,<=2k
NCS38,8.6,Low Fat,0.090191431,Household,112.9176,OUT046,Small,Tier 1,Supermarket Type1,Non-Consumable,16,<=2k
FDY21,"",Low Fat,0.30374337,Snack Foods,196.011,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
FDB58,10.5,Regular,0.022590317999999998,Snack Foods,140.6154,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDH41,9.0,Low Fat,0.08201152099999999,Frozen Foods,213.3534,OUT046,Small,Tier 1,Supermarket Type1,Food,16,<=2k
DRF23,4.61,Low Fat,0.122843005,Hard Drinks,172.4396,OUT049,Medium,Tier 1,Supermarket Type1,Drinks,14,<=2k
FDE05,10.895,Regular,0.05432142,Frozen Foods,146.2102,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDY10,17.6,Low Fat,0.049144165,Snack Foods,112.7176,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDS43,11.65,Low Fat,0.040577878,Fruits and Vegetables,188.22400000000002,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
NCM30,19.1,Low Fat,0.067400032,Household,41.9796,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,<=2k
FDY49,17.2,Regular,0.012036432,Canned,165.7184,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
FDN02,16.5,Low Fat,0.073977473,Canned,206.8638,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
FDP37,15.6,Low Fat,0.143396175,Breakfast,128.0994,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
NCF07,9.0,Low Fat,0.03201648,Household,99.6016,OUT035,Small,Tier 2,Supermarket Type1,Non-Consumable,9,<=2k
FDJ09,15.0,Low Fat,0.058346234000000004,Snack Foods,44.0744,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDO23,"",Low Fat,0.14571827,Breads,94.3436,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDH09,"",Low Fat,0.05580601599999999,Seafood,52.4982,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,<=2k
FDX34,6.195,Low Fat,0.07209744900000001,Snack Foods,119.3098,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDV60,20.2,Regular,0.11754371300000001,Baking Goods,197.31099999999998,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,>2k
FDE32,20.7,Low Fat,0.048718334,Fruits and Vegetables,38.7506,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
NCI30,20.25,Low Fat,0.059175599999999995,Household,245.046,OUT018,Medium,Tier 3,Supermarket Type2,Non-Consumable,4,>2k
FDS37,7.655,Low Fat,0.031918284,Canned,117.7492,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDC57,"",Regular,0.09558797599999999,Fruits and Vegetables,193.982,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
DRC01,5.92,Regular,0.019308607,Soft Drinks,49.0692,OUT017,"",Tier 2,Supermarket Type1,Drinks,6,<=2k
DRD27,18.75,Low Fat,0.023974769,Dairy,99.0042,OUT017,"",Tier 2,Supermarket Type1,Drinks,6,<=2k
FDI12,9.395,Regular,0.100602552,Baking Goods,88.3856,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
FDQ33,13.35,Low Fat,0.091189915,Snack Foods,149.3708,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDQ27,"",Regular,0.077480627,Meat,101.399,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
NCB07,19.2,Low Fat,0.12973174699999998,Household,196.21099999999998,OUT010,"",Tier 3,Grocery Store,Non-Consumable,15,<=2k
FDC08,19.0,Regular,0.103363904,Fruits and Vegetables,226.172,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
FDD20,14.15,Low Fat,0.020714523000000002,Fruits and Vegetables,124.2046,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDS24,20.85,Regular,0.062212712999999996,Baking Goods,88.1514,OUT035,Small,Tier 2,Supermarket Type1,Food,9,<=2k
FDH34,8.63,Low Fat,0.031271134,Snack Foods,186.0582,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
NCX30,16.7,Low Fat,0.026729067999999998,Household,248.4776,OUT018,Medium,Tier 3,Supermarket Type2,Non-Consumable,4,>2k
FDM01,7.895,Regular,0.094567181,Breakfast,104.5332,OUT046,Small,Tier 1,Supermarket Type1,Food,16,<=2k
FDB20,7.72,Low Fat,0.05193741,Fruits and Vegetables,77.9986,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
NCK29,5.615,Low Fat,0.12648042199999998,Health and Hygiene,121.573,OUT017,"",Tier 2,Supermarket Type1,Non-Consumable,6,>2k
FDS11,7.05,Regular,0.055644887000000004,Breads,224.9088,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,>2k
NCV41,14.35,Low Fat,0.028519419,Health and Hygiene,109.2228,OUT010,"",Tier 3,Grocery Store,Non-Consumable,15,<=2k
DRL60,8.52,Low Fat,0.027101431000000002,Soft Drinks,151.7682,OUT049,Medium,Tier 1,Supermarket Type1,Drinks,14,>2k
FDV10,7.645,Regular,0.067083367,Snack Foods,44.0112,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
FDV09,12.1,Low Fat,0.020652362,Snack Foods,149.5734,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,>2k
FDQ39,14.8,Low Fat,0.081042136,Meat,192.4846,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
DRE49,20.75,Low Fat,0.021336565,Soft Drinks,153.6024,OUT018,Medium,Tier 3,Supermarket Type2,Drinks,4,<=2k
FDR45,10.8,Low Fat,0.029001987000000003,Snack Foods,238.6222,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
DRJ23,18.35,Low Fat,0.069745165,Hard Drinks,190.2872,OUT010,"",Tier 3,Grocery Store,Drinks,15,<=2k
FDQ26,13.5,Regular,0.06814888599999999,Dairy,58.6562,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
NCA06,20.5,Low Fat,0.144094079,Household,34.819,OUT017,"",Tier 2,Supermarket Type1,Non-Consumable,6,<=2k
FDT24,12.35,Regular,0.186616421,Baking Goods,78.6328,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
DRG27,8.895,Low Fat,0.105323859,Dairy,39.1138,OUT045,"",Tier 2,Supermarket Type1,Drinks,11,<=2k
FDR02,16.7,Low Fat,0.022110425,Dairy,110.8886,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
DRG37,16.2,Low Fat,0.019374768,Soft Drinks,155.8972,OUT035,Small,Tier 2,Supermarket Type1,Drinks,9,>2k
