ifa,age,dupl_age,workclass,dupl_workclass,fnlwgt,logfnl,empty,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
3070a,48,48,Private,Private,176140,5.245857992,,11th,7,Divorced,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
3201a,37,37,Private,Private,325538,5.512601691,,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Male,0,0,60,?,<=50K
3667a,51,51,Private,Private,255412,5.407241298,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,France,>50K
4251a,28,28,Federal-gov,Federal-gov,214858,5.332151529,,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,48,United-States,<=50K
4362a,25,25,Private,Private,125159,5.097462085,,Assoc-acdm,12,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,Jamaica,<=50K
5060a,42,42,Private,Private,178134,5.25074682,,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,<=50K
5151a,42,42,Private,Private,255847,5.407980329,,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4386,0,48,United-States,>50K
6305a,58,58,State-gov,State-gov,194068,5.28795393,,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,>50K
6353a,44,44,Federal-gov,Federal-gov,280362,5.447719149,,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
6555a,40,40,Local-gov,Local-gov,55363,4.743219616,,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
6602a,44,44,Private,Private,216116,5.334686921,,HS-grad,9,,Other-service,Not-in-family,Black,Female,0,0,40,Jamaica,<=50K
6987a,37,37,Private,Private,254973,5.406494194,,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,40,United-States,>50K
7436a,27,27,Private,Private,107218,5.030267702,,HS-grad,9,Never-married,Other-service,Own-child,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
7503a,40,40,Private,Private,331651,5.520681311,,Some-college,10,Separated,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
7596a,22,22,Private,Private,333910,5.523629426,,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,43,United-States,<=50K
7745a,22,22,Private,Private,64292,4.808156936,,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,37,United-States,<=50K
8613a,19,19,State-gov,State-gov,431745,5.635227317,,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,<=50K
8746a,51,51,Federal-gov,Federal-gov,45487,4.657887295,,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,80,United-States,<=50K
8868a,34,34,Private,Private,56121,4.749125401,,11th,7,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
8946a,46,46,Private,Private,57914,4.762783562,,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
9165a,72,72,Private,Private,157593,5.197536923,,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,1455,0,6,United-States,<=50K
9255a,58,58,Federal-gov,Federal-gov,175873,5.245199172,,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
9368a,17,17,?,?,406920,5.609509036,,10th,6,Never-married,?,Own-child,White,Male,0,0,40,United-States,<=50K
9440a,58,58,Private,Private,222247,5.346835907,,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1887,40,United-States,>50K
9648a,29,29,Private,Private,161155,5.207243784,,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
10155a,28,28,Private,Private,308995,5.489951452,,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,Jamaica,<=50K
10672a,17,17,Private,Private,33138,4.520326294,,12th,8,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
10712a,20,20,Private,Private,194504,5.288928537,,Some-college,10,Separated,Sales,Unmarried,Black,Female,0,0,40,United-States,<=50K
12088a,42,42,Private,Private,112181,5.049919307,,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,<=50K
12860a,38,38,Private,Private,248886,,,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,United-States,<=50K
12873a,39,39,Private,Private,114251,,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
13257a,55,55,Private,Private,160303,,,HS-grad,9,Widowed,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,<=50K
13713a,18,18,Private,Private,27780,,,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,25,United-States,<=50K
13843a,41,41,Private,Private,107276,,,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K
13866a,72,72,Private,Private,89299,,,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,16,United-States,<=50K
13971a,39,39,Private,Private,215095,,,11th,7,Never-married,Prof-specialty,Unmarried,White,Female,0,0,30,Puerto-Rico,<=50K
14334a,22,22,Private,Private,153323,,,Some-college,10,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,20,United-States,<=50K
14726a,65,65,?,?,249043,,,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,10605,0,40,United-States,>50K
14748a,49,49,Private,Private,149949,,,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,1876,40,United-States,<=50K
15695a,33,33,Private,Private,183000,,,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,24,United-States,<=50K
16000a,21,21,?,?,199177,,,HS-grad,9,Never-married,?,Not-in-family,White,Female,0,0,40,United-States,<=50K
16095a,31,31,Private,Private,236599,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
16194a,22,22,Private,Private,174975,,,Assoc-voc,11,Never-married,Tech-support,Own-child,White,Female,0,0,36,United-States,<=50K
16343a,53,53,Private,Private,346754,,,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K
16562a,32,32,Local-gov,Local-gov,159187,,,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,35,United-States,<=50K
17367a,38,38,Private,Private,48779,,,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
17855a,36,36,Self-emp-not-inc,Self-emp-not-inc,202950,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Iran,<=50K
18025a,22,22,Private,Private,233624,,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,43,United-States,<=50K
18204a,58,58,Self-emp-not-inc,Self-emp-not-inc,165315,,,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,United-States,>50K
18574a,37,37,Local-gov,Local-gov,365430,,,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,40,United-States,>50K
20199a,25,25,Private,Private,177017,,,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,1504,37,United-States,<=50K
20678a,24,24,Private,Private,96844,,,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,17,United-States,<=50K
21033a,25,25,Private,Private,117833,,,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,<=50K
21225a,58,58,Self-emp-inc,Self-emp-inc,258883,,,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
25175a,50,50,Private,Private,104501,,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
25743a,40,40,Private,Private,53835,,,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
26128a,19,19,?,?,60688,,,Some-college,10,Never-married,?,Own-child,White,Male,0,0,35,United-States,<=50K
27159a,21,21,Private,Private,180339,,,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,45,United-States,<=50K
27547a,29,29,Private,Private,406826,,,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K
29139a,31,31,Self-emp-not-inc,Self-emp-not-inc,81030,,,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
30617a,45,45,Private,Private,343377,,,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
31615a,49,49,Private,Private,237920,,,Doctorate,16,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K
32444a,18,18,Private,Private,41381,,,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,1602,20,United-States,<=50K
98a,37,37,Private,Private,202683,5.306817324,,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,>50K
115a,36,36,Private,Private,102864,5.012263408,,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
526a,28,28,Private,Private,85812,4.933548024,,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K
934a,23,23,Private,Private,375871,5.575038819,,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,Mexico,<=50K
1123a,34,34,State-gov,State-gov,50178,4.700513347,,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,38,United-States,<=50K
2171a,38,38,Private,Private,277347,5.443023473,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
2442a,61,61,Private,Private,355645,5.551016707,,,5,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,20,Trinadad&Tobago,<=50K
2447a,35,35,Private,Private,63921,4.805643561,,5th-6th,3,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,<=50K
2645a,19,19,Private,Private,196857,5.294150862,,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
2991a,20,20,Private,Private,44064,4.644083919,,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,25,United-States,<=50K
3265a,36,36,Self-emp-inc,Self-emp-inc,164866,5.217131101,,Assoc-acdm,12,Separated,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
3349a,30,30,Private,Private,116508,5.066355747,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Germany,<=50K
3393a,44,44,Private,Private,353396,5.54826163,,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,<=50K
3581a,63,63,Private,Private,106023,5.025400089,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
4330a,63,63,Private,Private,149756,5.175384231,,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,>50K
4384a,20,20,Private,Private,133515,5.12553006,,Some-college,10,Never-married,Sales,Other-relative,White,Female,0,0,40,United-States,<=50K
4716a,22,22,Private,Private,24008,4.380355982,,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
5159a,47,47,Private,Private,190139,5.279071205,,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
5375a,55,55,Private,Private,157079,5.196118128,,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,40,*,>50K
6242a,33,33,Private,Private,109996,5.041376892,,Assoc-acdm,12,,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
6729a,32,32,Private,Private,127384,5.105114882,,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,>50K
6835a,60,60,?,?,112821,5.052389945,,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,35,United-States,>50K
7291a,39,39,State-gov,State-gov,201105,5.303422868,,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,55,United-States,>50K
7570a,19,19,Private,Private,175652,5.244653099,,11th,7,Never-married,Other-service,Other-relative,White,Female,0,0,15,United-States,<=50K
8584a,49,49,Private,Private,143482,5.156797422,,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
8709a,30,30,Local-gov,Local-gov,233993,5.369202866,,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,15,United-States,<=50K
8770a,22,22,?,?,120572,5.081246465,,Some-college,10,Never-married,?,Own-child,White,Female,0,0,40,United-States,<=50K
8795a,33,33,Private,Private,198211,5.297127753,,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
9405a,60,60,Local-gov,Local-gov,98350,4.992774364,,Some-college,10,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,60,Philippines,<=50K
9852a,17,17,Private,Private,293440,5.467519314,,11th,7,Never-married,Adm-clerical,Own-child,White,Female,0,0,15,United-States,<=50K
10667a,27,27,State-gov,State-gov,206889,5.3157374,,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,<=50K
10923a,43,43,Self-emp-not-inc,Self-emp-not-inc,150528,5.177617291,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,30,United-States,<=50K
11539a,47,47,Private,Private,151584,5.180653363,,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,60,United-States,>50K
11826a,20,20,Private,Private,174714,5.242327707,,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K
11990a,43,43,Private,Private,118536,5.073850268,,HS-grad,9,Divorced,Machine-op-inspct,Other-relative,Black,Male,0,0,40,United-States,<=50K
12134a,35,35,Self-emp-not-inc,Self-emp-not-inc,153066,5.184878733,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,>50K
12409a,55,55,Private,Private,60193,,,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
12460a,28,28,Private,Private,221366,,,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
13338a,30,30,Private,Private,43953,,,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,0,1974,40,United-States,<=50K
13469a,30,30,Private,Private,169104,,,Assoc-acdm,12,Never-married,Other-service,Other-relative,Asian-Pac-Islander,Male,0,0,40,Vietnam,<=50K
14288a,55,55,Local-gov,Local-gov,286967,,,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
15111a,29,29,Private,Private,53642,,,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
16878a,49,49,State-gov,State-gov,216734,,,Prof-school,15,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
17089a,33,33,Private,Private,392812,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
17458a,34,34,State-gov,State-gov,227931,,,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,<=50K
17889a,32,32,Private,Private,228265,,,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,30,United-States,<=50K
18019a,24,24,Private,Private,142227,,,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,<=50K
18270a,27,27,Private,Private,247819,,,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,15,United-States,<=50K
19205a,52,52,Private,Private,110563,,,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
19595a,44,44,Self-emp-not-inc,Self-emp-not-inc,218653,,,Bachelors,13,Divorced,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
19644a,50,50,Private,Private,204447,,,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,65,United-States,>50K
19804a,26,26,Private,Private,292692,,,12th,8,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Mexico,<=50K
19892a,26,26,Private,Private,22328,,,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
20012a,35,35,Private,Private,214891,,,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Other,Male,0,0,40,Dominican-Republic,<=50K
20315a,23,23,?,?,296613,,,Some-college,10,Never-married,?,Own-child,White,Female,0,0,32,United-States,<=50K
22034a,42,42,?,?,195124,,,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,60,Dominican-Republic,<=50K
22065a,36,36,Private,Private,150057,,,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,65,United-States,<=50K
22384a,19,19,Private,Private,456572,,,HS-grad,9,Never-married,Farming-fishing,Other-relative,White,Male,0,0,35,United-States,<=50K
22419a,51,51,Self-emp-inc,Self-emp-inc,210736,,,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,10520,0,40,United-States,>50K
22923a,60,60,State-gov,State-gov,198815,,,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,20,Mexico,<=50K
23972a,29,29,Private,Private,210959,,,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
24289a,33,33,Private,Private,194901,,,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,<=50K
24804a,18,18,Private,Private,111256,,,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
25060a,21,21,Private,Private,229826,,,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,20,United-States,<=50K
25076a,33,33,Private,Private,1161363,,,Some-college,10,Separated,Tech-support,Unmarried,White,Female,0,0,50,Columbia,<=50K
25607a,41,41,Self-emp-not-inc,Self-emp-not-inc,144002,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
25889a,40,40,Private,Private,445382,,,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
25891a,53,53,Private,Private,163678,,,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
26014a,22,22,Self-emp-not-inc,Self-emp-not-inc,197387,,,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,<=50K
26557a,38,38,Private,Private,234298,,,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,6849,0,60,United-States,<=50K
26593a,49,49,State-gov,State-gov,36177,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
27332a,61,61,?,?,42938,,,Bachelors,13,Never-married,?,Not-in-family,White,Male,0,0,7,United-States,>50K
28312a,22,22,Private,Private,163911,,,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
29320a,27,27,Private,Private,388998,,,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,13550,0,46,United-States,>50K
29510a,36,36,Private,Private,111387,,,10th,6,Divorced,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
29541a,21,21,Private,Private,161210,,,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,<=50K
29973a,47,47,Private,Private,293623,,,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Dominican-Republic,<=50K
30072a,36,36,Private,Private,317040,,,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,54,United-States,<=50K
30563a,43,43,Private,Private,260696,,,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
31241a,27,27,Self-emp-not-inc,Self-emp-not-inc,120126,,,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
31367a,25,25,Private,Private,173062,,,Bachelors,13,Never-married,Handlers-cleaners,Unmarried,Black,Male,0,0,40,United-States,<=50K
32050a,32,32,Private,Private,313835,,,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
140a,49,49,Private,Private,81973,4.913670829,,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
515a,28,28,Private,Private,189346,5.277256135,,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,<=50K
559a,34,34,Private,Private,148291,5.171114794,,HS-grad,9,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,32,United-States,<=50K
675a,50,50,Self-emp-inc,Self-emp-inc,219420,5.341276211,,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
1139a,27,27,Private,Private,138705,5.142092117,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,53,United-States,<=50K
1984a,36,36,Private,Private,24106,4.382125152,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,40,United-States,>50K
2518a,51,51,Private,Private,106728,5.028278371,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,60,United-States,>50K
3063a,43,43,Private,Private,55294,4.742678008,,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
3087a,44,44,Private,Private,111275,5.046397603,,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,56,United-States,<=50K
3198a,51,51,Self-emp-inc,Self-emp-inc,180195,5.255742736,,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
3210a,59,59,Private,Private,99131,4.996209487,,HS-grad,9,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,18,United-States,<=50K
4403a,24,24,Private,Private,399449,5.601461338,,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
4607a,35,35,?,?,200426,5.301954059,,HS-grad,9,Married-civ-spouse,?,Wife,White,Female,0,0,12,United-States,<=50K
5126a,20,20,Private,Private,216972,5.336403692,,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,<=50K
5796a,35,35,Private,Private,348690,5.542439493,,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
6370a,56,56,Private,Private,159724,5.203370178,,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
7732a,37,37,Private,Private,210945,5.324169236,,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,24,United-States,<=50K
8055a,42,42,Private,Private,132481,5.122153598,,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,24,United-States,<=50K
8467a,25,25,Private,Private,359985,5.556284405,,5th-6th,3,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,33,Mexico,<=50K
9174a,34,34,Private,Private,207668,5.31736958,,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,1887,40,United-States,>50K
9435a,46,46,Private,Private,167882,5.225004134,,HS-grad,9,Divorced,Tech-support,Not-in-family,White,Female,0,0,43,United-States,<=50K
9687a,51,51,Private,Private,98791,4.994717382,,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
11489a,27,27,State-gov,State-gov,365916,5.5633814,,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,58,United-States,<=50K
11859a,35,35,Private,Private,165799,5.219581907,,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K
11973a,51,51,Private,Private,245873,5.39071084,,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
12176a,21,21,?,?,479482,5.680772308,,Some-college,10,Never-married,?,Own-child,White,Female,0,0,40,United-States,<=50K
12292a,72,72,Private,Private,426562,,,11th,7,Divorced,Other-service,Not-in-family,Black,Female,0,0,35,United-States,<=50K
13928a,60,60,Self-emp-inc,Self-emp-inc,123218,,,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
14455a,36,36,Private,Private,89040,,,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,47,United-States,<=50K
15311a,19,19,?,?,109938,,,11th,7,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female,0,0,40,Laos,<=50K
15325a,23,23,Private,Private,194247,,,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
16856a,21,21,Private,Private,190968,,,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
17282a,32,32,Private,Private,372692,,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
17959a,33,33,Self-emp-inc,Self-emp-inc,128016,,,HS-grad,9,Widowed,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
18065a,31,31,Private,Private,127610,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50,United-States,>50K
18375a,39,39,State-gov,State-gov,179668,,,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,70,United-States,<=50K
18378a,33,33,Local-gov,Local-gov,368675,,,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
18452a,70,70,Private,Private,206232,,,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,<=50K
18621a,43,43,Private,Private,347934,,,HS-grad,9,Separated,Sales,Not-in-family,White,Female,0,0,30,United-States,<=50K
19042a,60,60,?,?,141580,,,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,50,United-States,>50K
19302a,30,30,Private,Private,59496,,,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
19411a,33,33,Private,Private,251120,,,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,7688,0,50,United-States,>50K
19760a,34,34,Local-gov,Local-gov,22641,,,HS-grad,9,Never-married,Protective-serv,Not-in-family,,Male,0,0,40,United-States,<=50K
20824a,34,34,Federal-gov,Federal-gov,199934,,,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,>50K
21160a,59,59,Private,Private,258579,,,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,3103,0,35,United-States,>50K
21217a,42,42,State-gov,State-gov,345969,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States,>50K
21575a,31,31,Private,Private,80511,,,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,White,Female,0,0,44,United-States,<=50K
21907a,23,23,Self-emp-not-inc,Self-emp-not-inc,409230,,,1st-4th,2,Married-civ-spouse,Sales,Other-relative,White,Male,0,0,40,United-States,<=50K
22236a,32,32,Private,Private,362259,,,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
22259a,17,17,Private,Private,153035,,,10th,6,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
22649a,48,48,Private,Private,97176,,,HS-grad,9,Divorced,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,<=50K
22757a,25,25,Private,Private,294400,,,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
