ifa,age
27903a,20.0
11741a,49.0
624a,29.0
31541a,61.0
7607a,43.0
22693a,24.0
21453a,45.0
24922a,56.0
10548a,36.0
8006a,23.0
32130a,48.0
30978a,44.0
23150a,40.0
21068a,35.0
22816a,33.0
14418a,25.0
30384a,38.0
7798a,43.0
26896a,31.0
22288a,20.0
23291a,45.0
18352a,19.0
22447a,45.0
12871a,32.0
30116a,46.0
27657a,42.0
30776a,51.0
11851a,42.0
30764a,19.0
18432a,33.0
12009a,26.0
16193a,26.0
4537a,30.0
6914a,46.0
28865a,29.0
1634a,27.0
9615a,28.0
30216a,50.0
8772a,42.0
29029a,48.0
24855a,27.0
26621a,42.0
14542a,20.0
5931a,39.0
21240a,44.0
25543a,27.0
6690a,36.0
11085a,17.0
6231a,31.0
31114a,28.0
3956a,30.0
29933a,51.0
4930a,44.0
13097a,41.0
3597a,19.0
9740a,36.0
14362a,56.0
19169a,67.0
17617a,27.0
5519a,39.0
4422a,53.0
24264a,27.0
5685a,24.0
7503a,40.0
16257a,28.0
18303a,32.0
24825a,18.0
24821a,29.0
6734a,21.0
4189a,35.0
29062a,37.0
12955a,38.0
24573a,28.0
23445a,24.0
3241a,34.0
18562a,26.0
12279a,34.0
10155a,28.0
19528a,31.0
18155a,29.0
6104a,41.0
10798a,40.0
3493a,30.0
30451a,39.0
25801a,54.0
19268a,23.0
4095a,21.0
18058a,23.0
25687a,32.0
6373a,57.0
20262a,66.0
6615a,34.0
15274a,30.0
25334a,42.0
15208a,19.0
22055a,22.0
13134a,63.0
27802a,47.0
16494a,23.0
8017a,20.0
30908a,20.0
24808a,32.0
5438a,45.0
15850a,44.0
18026a,27.0
31025a,58.0
29904a,30.0
27237a,30.0
11096a,50.0
31641a,18.0
27010a,20.0
21067a,42.0
25205a,31.0
22637a,21.0
31009a,47.0
29452a,32.0
18239a,28.0
29455a,35.0
21836a,""
30220a,72.0
23711a,20.0
29581a,27.0
5730a,46.0
21063a,21.0
25313a,33.0
6843a,41.0
26075a,47.0
9513a,30.0
13754a,24.0
1789a,40.0
14566a,45.0
20336a,48.0
24474a,61.0
13473a,23.0
16236a,59.0
24963a,22.0
20044a,23.0
29818a,41.0
27556a,19.0
10377a,46.0
24256a,39.0
15951a,63.0
19789a,17.0
10222a,44.0
9167a,51.0
18658a,45.0
14758a,52.0
25178a,27.0
26051a,33.0
13853a,40.0
14388a,24.0
28046a,22.0
18591a,31.0
8156a,32.0
24848a,72.0
30621a,63.0
21390a,19.0
14619a,38.0
25452a,30.0
32219a,37.0
27641a,38.0
27003a,30.0
25435a,54.0
20398a,30.0
23816a,71.0
6202a,28.0
9394a,38.0
23478a,23.0
16586a,44.0
11781a,43.0
24727a,24.0
23290a,17.0
30725a,46.0
2101a,47.0
20420a,65.0
16127a,50.0
21259a,69.0
22669a,40.0
1147a,30.0
30681a,28.0
32288a,54.0
3576a,43.0
13933a,30.0
4609a,43.0
19439a,58.0
12492a,19.0
16981a,54.0
6984a,26.0
23273a,25.0
4871a,42.0
24613a,22.0
32535a,37.0
9124a,52.0
827a,62.0
10130a,37.0
8539a,27.0
19582a,43.0
23235a,72.0
1942a,56.0
14062a,34.0
25069a,55.0
6869a,32.0
13710a,60.0
2388a,37.0
5792a,35.0
20645a,71.0
8778a,47.0
7689a,30.0
2021a,24.0
21042a,21.0
27804a,37.0
30691a,39.0
45a,25.0
16244a,58.0
20410a,46.0
25632a,60.0
32172a,40.0
17631a,33.0
29722a,18.0
19635a,30.0
30741a,42.0
16487a,51.0
5912a,22.0
23899a,57.0
7916a,33.0
17451a,19.0
20369a,37.0
11883a,39.0
4877a,25.0
4103a,51.0
6117a,56.0
24405a,17.0
25016a,44.0
12651a,25.0
3193a,71.0
28823a,32.0
29538a,46.0
1028a,45.0
25310a,42.0
19486a,46.0
27398a,32.0
4753a,60.0
9792a,55.0
10210a,32.0
17085a,50.0
30358a,41.0
477a,17.0
4233a,54.0
18036a,27.0
19592a,41.0
18684a,37.0
13757a,27.0
10491a,46.0
14617a,18.0
21777a,55.0
10750a,39.0
31175a,23.0
4448a,25.0
10217a,24.0
22491a,23.0
29360a,20.0
3027a,28.0
2767a,24.0
17124a,46.0
12037a,42.0
31215a,21.0
31463a,42.0
32134a,52.0
30330a,29.0
24093a,28.0
8719a,29.0
28838a,56.0
13742a,63.0
16713a,60.0
13717a,29.0
4782a,39.0
14545a,17.0
32495a,82.0
20864a,42.0
30891a,45.0
22108a,17.0
25985a,41.0
25559a,58.0
24591a,32.0
24969a,58.0
10311a,59.0
26854a,46.0
2673a,38.0
3688a,24.0
11420a,39.0
29579a,32.0
31267a,45.0
19030a,32.0
28508a,54.0
2507a,19.0
22341a,51.0
11120a,37.0
23652a,57.0
8257a,50.0
18035a,34.0
19094a,41.0
6404a,26.0
8701a,40.0
25a,59.0
16624a,32.0
6899a,53.0
27811a,56.0
4838a,34.0
30917a,26.0
22140a,39.0
12850a,33.0
7212a,27.0
8871a,22.0
1035a,76.0
31861a,21.0
22505a,41.0
28682a,54.0
29943a,69.0
26011a,68.0
10924a,30.0
8750a,23.0
20922a,23.0
240a,23.0
24511a,50.0
30546a,47.0
5018a,27.0
14257a,20.0
25561a,60.0
3184a,40.0
13192a,43.0
17214a,58.0
5975a,49.0
8934a,76.0
2562a,40.0
15389a,35.0
16510a,40.0
10857a,22.0
22423a,71.0
4429a,58.0
22083a,28.0
13739a,25.0
27495a,33.0
28079a,58.0
28606a,51.0
31314a,38.0
6842a,35.0
3183a,29.0
11679a,35.0
16283a,38.0
30915a,34.0
26945a,33.0
15297a,54.0
8612a,49.0
12412a,25.0
16941a,18.0
12419a,31.0
21849a,19.0
25938a,27.0
4788a,46.0
5607a,39.0
3396a,61.0
16178a,36.0
15870a,57.0
1922a,38.0
17604a,42.0
30870a,67.0
26356a,23.0
18229a,64.0
8868a,34.0
10482a,31.0
19141a,45.0
6865a,54.0
7627a,50.0
6663a,21.0
7468a,38.0
4364a,43.0
10953a,46.0
4652a,36.0
31696a,32.0
15612a,25.0
25230a,38.0
20300a,17.0
10731a,42.0
14315a,31.0
28148a,46.0
21652a,31.0
12328a,40.0
1520a,17.0
2241a,38.0
167a,39.0
16881a,25.0
7834a,23.0
20530a,37.0
12660a,49.0
12760a,43.0
11449a,41.0
2414a,50.0
25569a,73.0
24346a,40.0
12266a,25.0
6474a,24.0
7553a,35.0
26558a,42.0
24772a,27.0
19289a,48.0
20623a,32.0
758a,33.0
21844a,35.0
22853a,19.0
28810a,23.0
27975a,33.0
15476a,42.0
30952a,63.0
16521a,61.0
4778a,22.0
25270a,36.0
21741a,26.0
10465a,31.0
19543a,45.0
3014a,64.0
24519a,38.0
11700a,40.0
20193a,39.0
12343a,22.0
5191a,27.0
3925a,50.0
19544a,37.0
7082a,46.0
30101a,37.0
21828a,33.0
3873a,38.0
7823a,61.0
17081a,48.0
28583a,49.0
13940a,35.0
6199a,36.0
1782a,37.0
27790a,28.0
28275a,24.0
19717a,38.0
10730a,42.0
29927a,38.0
1766a,49.0
8309a,36.0
25633a,46.0
3989a,52.0
24328a,48.0
26520a,31.0
9324a,49.0
15513a,24.0
6313a,17.0
14731a,39.0
29092a,29.0
5373a,27.0
1562a,45.0
29189a,48.0
29060a,36.0
1651a,19.0
14717a,23.0
32244a,33.0
5385a,19.0
14006a,76.0
984a,60.0
11212a,60.0
2990a,44.0
3046a,61.0
3343a,40.0
55a,""
19137a,28.0
22154a,57.0
8300a,23.0
30960a,48.0
22298a,30.0
26832a,30.0
7593a,45.0
1621a,48.0
31608a,26.0
15767a,43.0
21820a,53.0
13011a,39.0
13103a,33.0
30218a,55.0
22210a,26.0
31886a,35.0
18598a,59.0
27722a,61.0
24501a,20.0
31471a,19.0
3144a,32.0
27699a,50.0
22418a,42.0
8992a,29.0
24841a,46.0
7794a,21.0
18309a,43.0
13837a,36.0
32249a,24.0
5646a,34.0
5925a,43.0
26724a,41.0
6266a,63.0
3517a,19.0
21154a,46.0
4330a,63.0
8475a,52.0
6968a,60.0
26226a,19.0
21350a,34.0
25308a,51.0
4061a,40.0
25967a,50.0
16067a,32.0
12922a,29.0
17926a,35.0
6216a,23.0
29950a,37.0
6242a,33.0
16900a,20.0
29091a,53.0
20480a,64.0
27473a,47.0
30053a,58.0
21972a,32.0
28676a,49.0
25322a,66.0
11239a,84.0
17248a,19.0
8511a,44.0
17458a,34.0
23705a,21.0
2554a,27.0
27625a,35.0
5676a,38.0
4556a,41.0
31947a,49.0
22156a,29.0
16037a,28.0
20925a,30.0
5709a,43.0
2253a,44.0
27119a,60.0
17742a,44.0
1281a,52.0
2898a,64.0
29261a,28.0
13696a,50.0
26389a,46.0
420a,34.0
16946a,25.0
13428a,44.0
25041a,18.0
1103a,39.0
16199a,70.0
8866a,47.0
1267a,38.0
22380a,28.0
2568a,24.0
6680a,63.0
9894a,30.0
1989a,34.0
1767a,24.0
11926a,17.0
12629a,27.0
19585a,64.0
15656a,38.0
19828a,23.0
17517a,68.0
9948a,25.0
22657a,44.0
14181a,52.0
26833a,51.0
21697a,37.0
23958a,29.0
9606a,22.0
19819a,20.0
31958a,26.0
11989a,50.0
7151a,23.0
6334a,34.0
26869a,39.0
23007a,40.0
22464a,24.0
28455a,46.0
400a,52.0
28671a,32.0
17170a,40.0
17817a,58.0
5906a,60.0
11633a,57.0
14078a,40.0
30682a,39.0
7931a,43.0
19614a,43.0
28679a,33.0
10145a,51.0
3190a,43.0
5454a,45.0
18207a,37.0
16410a,45.0
28727a,49.0
27930a,28.0
28706a,59.0
19531a,30.0
13759a,31.0
32276a,20.0
27195a,51.0
22009a,42.0
9114a,47.0
3827a,21.0
20316a,40.0
8035a,42.0
10152a,52.0
11919a,27.0
24701a,27.0
1358a,31.0
22785a,30.0
20385a,35.0
24371a,62.0
13082a,29.0
30111a,46.0
29764a,41.0
26615a,36.0
12704a,69.0
24011a,42.0
10306a,33.0
30465a,21.0
28965a,29.0
23960a,19.0
11302a,36.0
20671a,40.0
22691a,23.0
28992a,19.0
14596a,42.0
1301a,29.0
6745a,34.0
12709a,28.0
6857a,17.0
30077a,32.0
17294a,66.0
21854a,33.0
29350a,27.0
14223a,56.0
5070a,33.0
6607a,48.0
22023a,24.0
13512a,28.0
26086a,32.0
17269a,36.0
15524a,20.0
8298a,24.0
21258a,48.0
20865a,44.0
15749a,56.0
15836a,29.0
31151a,53.0
23250a,37.0
20438a,31.0
5199a,76.0
32469a,39.0
9944a,36.0
3823a,54.0
8668a,36.0
29266a,36.0
27581a,26.0
24896a,46.0
12173a,27.0
19255a,50.0
31685a,37.0
16270a,50.0
82a,52.0
24601a,41.0
20317a,47.0
4551a,38.0
7023a,41.0
14075a,40.0
4881a,37.0
21459a,38.0
337a,30.0
15717a,46.0
7287a,47.0
15281a,30.0
28018a,27.0
26416a,36.0
28519a,38.0
20744a,26.0
27979a,55.0
18474a,54.0
29812a,58.0
31468a,73.0
11773a,40.0
23560a,31.0
23043a,23.0
13664a,21.0
1832a,52.0
7043a,37.0
23975a,39.0
8516a,18.0
14410a,28.0
17755a,51.0
24228a,23.0
15731a,45.0
22898a,24.0
7081a,18.0
18074a,72.0
3033a,47.0
29017a,44.0
6560a,32.0
16620a,36.0
23620a,35.0
29513a,23.0
21675a,23.0
7493a,53.0
29749a,42.0
28960a,33.0
7826a,70.0
14820a,34.0
28924a,26.0
18544a,29.0
6281a,53.0
13178a,20.0
28634a,21.0
26707a,28.0
27852a,34.0
22937a,46.0
19265a,60.0
23327a,21.0
26478a,36.0
3216a,32.0
16920a,42.0
31561a,40.0
11147a,29.0
7838a,45.0
28778a,18.0
27934a,39.0
1126a,20.0
14347a,46.0
7432a,46.0
8618a,33.0
20562a,43.0
18763a,31.0
3362a,21.0
20713a,40.0
21362a,41.0
15225a,34.0
25769a,19.0
14858a,72.0
25685a,25.0
21475a,49.0
18936a,43.0
2077a,51.0
31914a,18.0
6364a,61.0
501a,23.0
25987a,44.0
30298a,29.0
8958a,44.0
20295a,19.0
23476a,48.0
13866a,72.0
11590a,54.0
14726a,65.0
3676a,27.0
12068a,55.0
12476a,38.0
9871a,23.0
27278a,33.0
14405a,34.0
30307a,37.0
4387a,53.0
20197a,40.0
11688a,49.0
10106a,52.0
18418a,24.0
11997a,""
32371a,53.0
1217a,48.0
11609a,50.0
25964a,61.0
27741a,31.0
12013a,32.0
29558a,33.0
29111a,48.0
26684a,49.0
31457a,30.0
26442a,58.0
2743a,42.0
9671a,19.0
20676a,35.0
19833a,37.0
27580a,61.0
23679a,69.0
21673a,55.0
2927a,35.0
6816a,45.0
24129a,45.0
8028a,45.0
14971a,38.0
32322a,54.0
5039a,55.0
20970a,34.0
28400a,40.0
8277a,23.0
30073a,36.0
14169a,66.0
14312a,33.0
12202a,44.0
4009a,40.0
19032a,63.0
23305a,66.0
30919a,61.0
13377a,34.0
23880a,38.0
17575a,76.0
23158a,72.0
11931a,26.0
9768a,39.0
1240a,42.0
28782a,24.0
14772a,25.0
30860a,35.0
25534a,33.0
32500a,25.0
19881a,28.0
30999a,30.0
1860a,47.0
4868a,58.0
19208a,46.0
13187a,32.0
4628a,58.0
12555a,33.0
13186a,39.0
8665a,43.0
1913a,52.0
3195a,28.0
3580a,21.0
16846a,23.0
6803a,73.0
8082a,30.0
1516a,44.0
13100a,47.0
28272a,44.0
11991a,61.0
1177a,22.0
19004a,17.0
5046a,48.0
4146a,36.0
2056a,30.0
17452a,61.0
13298a,39.0
32220a,28.0
8976a,44.0
2896a,45.0
20132a,26.0
14288a,55.0
24851a,48.0
24425a,29.0
2720a,39.0
14251a,59.0
21914a,38.0
29773a,36.0
9983a,33.0
9230a,32.0
12402a,26.0
28485a,31.0
4583a,37.0
11776a,33.0
8941a,27.0
27057a,26.0
10718a,28.0
2231a,59.0
12721a,62.0
24037a,46.0
25740a,35.0
12542a,40.0
13643a,34.0
30172a,45.0
3565a,57.0
13381a,40.0
31921a,32.0
3280a,45.0
14978a,36.0
12562a,45.0
13867a,63.0
15081a,52.0
18618a,25.0
22178a,53.0
26762a,18.0
3252a,23.0
18729a,58.0
10099a,51.0
32148a,50.0
1092a,44.0
3923a,22.0
23525a,22.0
10114a,43.0
7782a,52.0
1295a,36.0
23568a,48.0
26452a,41.0
21282a,62.0
14182a,27.0
22999a,41.0
18522a,26.0
20142a,26.0
15652a,45.0
3519a,51.0
7445a,37.0
17951a,57.0
23923a,24.0
31352a,41.0
4892a,21.0
9258a,19.0
29141a,31.0
24799a,36.0
5955a,29.0
13227a,37.0
11599a,30.0
21618a,21.0
21471a,55.0
9829a,64.0
28246a,44.0
10154a,27.0
28031a,19.0
732a,55.0
26215a,24.0
20866a,60.0
28312a,22.0
27053a,47.0
8915a,35.0
14375a,34.0
31166a,31.0
9720a,36.0
10962a,21.0
22240a,41.0
4894a,30.0
31019a,21.0
11934a,43.0
22656a,38.0
3889a,46.0
18429a,24.0
31752a,22.0
2699a,50.0
24171a,41.0
22050a,46.0
10088a,50.0
29363a,58.0
14579a,26.0
10850a,45.0
21324a,26.0
7069a,22.0
3328a,63.0
16238a,43.0
25266a,24.0
14435a,29.0
8449a,49.0
10647a,50.0
15942a,58.0
1374a,46.0
9344a,20.0
17335a,37.0
21406a,47.0
21734a,30.0
2224a,23.0
15597a,68.0
19042a,60.0
20948a,32.0
8995a,29.0
25157a,40.0
31284a,61.0
19764a,33.0
16049a,59.0
3386a,44.0
7822a,21.0
25376a,22.0
8084a,40.0
23725a,31.0
26781a,42.0
28491a,42.0
31856a,82.0
7942a,52.0
13881a,53.0
25483a,41.0
10345a,33.0
19855a,26.0
12451a,41.0
31607a,25.0
2363a,36.0
30752a,27.0
30864a,46.0
8670a,50.0
21371a,61.0
10398a,52.0
16942a,37.0
5250a,52.0
17753a,32.0
13362a,24.0
5819a,36.0
4266a,32.0
31936a,18.0
8854a,68.0
25808a,27.0
10385a,50.0
27023a,63.0
20476a,19.0
26908a,26.0
22267a,56.0
26617a,44.0
19306a,37.0
16461a,43.0
10133a,18.0
22624a,60.0
2958a,49.0
12794a,33.0
25414a,34.0
13834a,27.0
29667a,22.0
19236a,27.0
22965a,36.0
31413a,47.0
2489a,52.0
3351a,25.0
25832a,31.0
12910a,56.0
29862a,49.0
17275a,41.0
11216a,37.0
9205a,37.0
26203a,46.0
21752a,39.0
13193a,34.0
6248a,18.0
26196a,48.0
10332a,37.0
715a,36.0
7254a,48.0
25165a,20.0
19856a,39.0
29646a,22.0
5662a,19.0
16404a,57.0
1664a,62.0
32254a,42.0
32192a,23.0
4073a,34.0
26947a,50.0
20825a,23.0
13390a,39.0
5463a,39.0
31469a,35.0
4897a,20.0
29717a,47.0
16296a,38.0
4796a,34.0
13764a,51.0
25906a,28.0
18833a,""
16974a,26.0
6953a,46.0
30604a,29.0
2926a,49.0
31755a,26.0
12902a,30.0
26630a,19.0
11375a,44.0
16106a,32.0
5811a,25.0
31901a,37.0
9875a,55.0
14434a,28.0
7380a,31.0
4207a,48.0
22031a,30.0
23993a,43.0
13290a,37.0
12908a,17.0
16040a,45.0
1598a,37.0
2812a,53.0
18838a,19.0
30918a,41.0
19259a,36.0
6926a,45.0
3935a,53.0
29901a,38.0
16670a,47.0
5078a,35.0
10209a,42.0
19326a,60.0
18956a,37.0
7707a,34.0
20831a,33.0
9144a,59.0
17113a,46.0
30710a,23.0
25680a,25.0
7755a,18.0
684a,23.0
1648a,30.0
6259a,27.0
28929a,47.0
7757a,31.0
24461a,19.0
16262a,56.0
24497a,32.0
1961a,32.0
19762a,29.0
30107a,56.0
25909a,41.0
27503a,17.0
29765a,17.0
16175a,42.0
17599a,23.0
1345a,26.0
28620a,38.0
14129a,42.0
15128a,51.0
9535a,41.0
1392a,40.0
22647a,23.0
5999a,40.0
27697a,26.0
13748a,38.0
20696a,47.0
8653a,44.0
31331a,24.0
16417a,47.0
5157a,73.0
1221a,45.0
22742a,22.0
31876a,60.0
9011a,22.0
16034a,42.0
18244a,37.0
13786a,66.0
23466a,56.0
29184a,42.0
16563a,46.0
20636a,46.0
8441a,20.0
2558a,22.0
27713a,41.0
12504a,31.0
1330a,29.0
27066a,38.0
26922a,19.0
25144a,50.0
26987a,20.0
17658a,37.0
17067a,23.0
23295a,63.0
22723a,46.0
706a,44.0
14801a,50.0
21454a,34.0
17370a,30.0
18718a,26.0
4955a,36.0
28050a,26.0
4540a,57.0
6335a,36.0
30335a,20.0
11970a,51.0
5602a,34.0
10322a,22.0
13596a,29.0
12453a,35.0
31176a,19.0
1204a,44.0
2577a,32.0
19978a,49.0
14833a,65.0
24732a,21.0
25038a,35.0
11405a,47.0
4469a,24.0
5584a,27.0
27965a,30.0
10980a,35.0
29473a,49.0
27854a,42.0
11398a,41.0
23514a,23.0
10166a,36.0
9775a,34.0
9015a,62.0
24240a,35.0
12810a,44.0
7649a,53.0
25915a,51.0
29502a,38.0
7024a,50.0
22095a,19.0
12686a,61.0
11432a,59.0
26434a,20.0
431a,80.0
18097a,22.0
25081a,35.0
7074a,56.0
6367a,59.0
27046a,63.0
11661a,45.0
18632a,46.0
16147a,19.0
6316a,54.0
10119a,41.0
10374a,27.0
7037a,49.0
14641a,29.0
30348a,39.0
30407a,28.0
26722a,41.0
20163a,52.0
13892a,48.0
14843a,54.0
221a,31.0
1290a,50.0
3042a,27.0
24468a,27.0
19887a,31.0
18146a,27.0
408a,46.0
12417a,57.0
25563a,45.0
26530a,24.0
3461a,38.0
25033a,30.0
4656a,19.0
3931a,20.0
245a,38.0
13864a,49.0
15440a,33.0
7326a,31.0
11785a,38.0
74a,23.0
25256a,38.0
28677a,27.0
23686a,41.0
3868a,68.0
23079a,50.0
13354a,71.0
24352a,32.0
12347a,41.0
5043a,25.0
17710a,39.0
4543a,27.0
7344a,52.0
17473a,29.0
1274a,25.0
29034a,22.0
9056a,74.0
18424a,43.0
10852a,22.0
13180a,45.0
14106a,51.0
31198a,60.0
4013a,35.0
28964a,55.0
5614a,23.0
13383a,31.0
23512a,47.0
14210a,62.0
10614a,50.0
25782a,27.0
6681a,51.0
31877a,58.0
16220a,31.0
997a,45.0
13282a,26.0
27177a,52.0
9729a,46.0
65a,29.0
23830a,35.0
19460a,55.0
3364a,36.0
13358a,51.0
10698a,18.0
8453a,72.0
30299a,20.0
31642a,26.0
21214a,58.0
9562a,56.0
1554a,24.0
4621a,40.0
14175a,22.0
22752a,26.0
8007a,19.0
27034a,36.0
3008a,49.0
3579a,37.0
27785a,28.0
12561a,34.0
12668a,20.0
18514a,33.0
12251a,51.0
20697a,33.0
15137a,26.0
5243a,35.0
25180a,24.0
20615a,27.0
4558a,33.0
22755a,71.0
18607a,20.0
30425a,34.0
10221a,31.0
3085a,23.0
20729a,37.0
28082a,31.0
21743a,33.0
9261a,35.0
5532a,31.0
15066a,20.0
10728a,55.0
14073a,27.0
17092a,22.0
1880a,30.0
32470a,58.0
5294a,35.0
10300a,48.0
23459a,24.0
3632a,60.0
11831a,28.0
4725a,37.0
14679a,40.0
11251a,38.0
17259a,23.0
22136a,33.0
12928a,26.0
1606a,67.0
9357a,20.0
689a,41.0
12886a,25.0
12098a,21.0
20485a,58.0
2722a,34.0
12737a,58.0
30784a,36.0
31121a,39.0
32512a,25.0
8325a,25.0
14155a,47.0
23667a,35.0
19934a,21.0
5234a,49.0
28864a,41.0
25093a,31.0
15156a,47.0
27144a,45.0
32159a,19.0
25810a,52.0
1506a,32.0
7887a,43.0
5536a,25.0
32431a,61.0
14821a,33.0
18449a,54.0
21085a,59.0
20656a,55.0
9545a,48.0
6893a,37.0
29097a,34.0
26730a,51.0
13774a,36.0
1739a,45.0
11621a,67.0
26291a,19.0
13166a,28.0
20775a,21.0
13142a,28.0
28038a,20.0
15623a,54.0
30819a,50.0
29634a,30.0
13509a,51.0
31682a,43.0
16475a,54.0
5744a,60.0
19753a,32.0
10225a,24.0
22084a,38.0
25872a,64.0
11571a,17.0
9809a,30.0
31984a,34.0
25652a,29.0
5773a,42.0
27630a,55.0
27573a,54.0
16396a,23.0
6887a,56.0
18476a,23.0
16264a,40.0
29874a,43.0
3358a,24.0
29693a,35.0
14939a,53.0
12554a,35.0
4060a,39.0
26045a,42.0
12782a,68.0
6510a,54.0
27423a,63.0
17138a,43.0
8140a,39.0
2649a,32.0
21069a,36.0
26916a,24.0
8730a,56.0
13176a,29.0
4466a,49.0
13718a,30.0
1428a,39.0
16488a,27.0
4938a,18.0
1873a,31.0
1185a,44.0
31221a,56.0
13741a,18.0
31815a,80.0
12459a,60.0
8791a,36.0
30801a,41.0
14633a,20.0
20718a,24.0
9208a,21.0
16533a,18.0
17831a,37.0
18473a,32.0
8381a,34.0
2378a,54.0
28644a,42.0
27972a,67.0
32143a,29.0
1429a,19.0
25993a,56.0
9941a,33.0
30238a,23.0
19350a,37.0
5133a,23.0
27915a,38.0
22429a,46.0
15945a,60.0
5813a,44.0
643a,21.0
26569a,21.0
31628a,27.0
13349a,34.0
9203a,33.0
6700a,55.0
30923a,49.0
28240a,45.0
14865a,37.0
12494a,35.0
29367a,22.0
11326a,50.0
30724a,34.0
11695a,26.0
11527a,18.0
6403a,20.0
2976a,27.0
30410a,42.0
20374a,28.0
1774a,17.0
17834a,36.0
19204a,30.0
30585a,18.0
30558a,20.0
9005a,41.0
7046a,35.0
16314a,28.0
1012a,34.0
4516a,43.0
9027a,38.0
16458a,55.0
24456a,26.0
26348a,65.0
27778a,21.0
23834a,51.0
18129a,40.0
16390a,38.0
31435a,39.0
21338a,40.0
7278a,37.0
25396a,66.0
21442a,32.0
31211a,35.0
31816a,55.0
31777a,64.0
21200a,35.0
5341a,74.0
11210a,37.0
17304a,24.0
24414a,26.0
31949a,25.0
25105a,43.0
15438a,34.0
14670a,31.0
19846a,25.0
15224a,31.0
25784a,19.0
6683a,33.0
16565a,30.0
5590a,30.0
16112a,24.0
4463a,28.0
20011a,41.0
18227a,45.0
22608a,19.0
18542a,63.0
14014a,29.0
28183a,23.0
27841a,35.0
953a,51.0
2871a,43.0
28940a,52.0
17747a,27.0
18148a,58.0
8261a,25.0
10843a,51.0
28950a,22.0
6838a,23.0
12152a,25.0
12685a,23.0
6602a,44.0
7485a,31.0
28629a,36.0
2153a,21.0
7753a,41.0
9442a,47.0
12197a,32.0
4255a,41.0
21457a,42.0
26894a,25.0
17156a,32.0
367a,56.0
2052a,53.0
30677a,42.0
22994a,30.0
3721a,46.0
14425a,31.0
19982a,44.0
4899a,37.0
18963a,39.0
20698a,19.0
2980a,40.0
12237a,36.0
25134a,33.0
17361a,30.0
16491a,72.0
10276a,30.0
17987a,55.0
8179a,29.0
4057a,27.0
3674a,39.0
5505a,40.0
21301a,23.0
13969a,22.0
14215a,32.0
2659a,49.0
25289a,44.0
19511a,55.0
25354a,30.0
26981a,54.0
21573a,33.0
23969a,42.0
4408a,52.0
15105a,45.0
30950a,24.0
1614a,54.0
17550a,46.0
8743a,50.0
6109a,19.0
5503a,28.0
17690a,40.0
25700a,26.0
17128a,51.0
19115a,73.0
29328a,38.0
9761a,30.0
2110a,66.0
17760a,37.0
21057a,64.0
9644a,64.0
4050a,28.0
11629a,47.0
6809a,33.0
26978a,73.0
2279a,17.0
18337a,68.0
27018a,51.0
28858a,48.0
27635a,24.0
7233a,41.0
16276a,45.0
3051a,57.0
5984a,22.0
29616a,31.0
6464a,47.0
13181a,36.0
7997a,40.0
8838a,35.0
32525a,26.0
8333a,58.0
1594a,55.0
5060a,42.0
27721a,30.0
14296a,56.0
11128a,48.0
9385a,23.0
24898a,35.0
2887a,39.0
32493a,42.0
9504a,46.0
12310a,22.0
10982a,24.0
29458a,19.0
14744a,19.0
132a,24.0
14989a,34.0
860a,49.0
28375a,53.0
29876a,18.0
7723a,19.0
1576a,52.0
25412a,47.0
25538a,69.0
20223a,43.0
27691a,36.0
4857a,32.0
26701a,26.0
15814a,32.0
8412a,43.0
26580a,49.0
16830a,44.0
28982a,42.0
17287a,59.0
10037a,39.0
20057a,38.0
31631a,41.0
11780a,31.0
4241a,22.0
29374a,41.0
24537a,46.0
29990a,43.0
17665a,65.0
31128a,19.0
11854a,52.0
30905a,22.0
22398a,49.0
2239a,35.0
28626a,20.0
17561a,35.0
31031a,""
4994a,23.0
23637a,70.0
2416a,39.0
14342a,40.0
901a,63.0
767a,31.0
7402a,35.0
17776a,69.0
716a,31.0
7548a,20.0
13894a,19.0
22675a,19.0
29888a,25.0
13606a,39.0
24356a,38.0
21332a,42.0
25511a,46.0
17114a,67.0
3424a,43.0
2770a,22.0
581a,65.0
16790a,30.0
6997a,25.0
18629a,41.0
5688a,71.0
18928a,35.0
7076a,28.0
7208a,45.0
8225a,29.0
13597a,48.0
17169a,63.0
29885a,30.0
32503a,35.0
5171a,26.0
4764a,31.0
2411a,51.0
1456a,56.0
30219a,45.0
14459a,25.0
19484a,53.0
32528a,22.0
1697a,49.0
21707a,57.0
30099a,40.0
18125a,32.0
28568a,33.0
17927a,35.0
389a,19.0
21946a,34.0
31201a,36.0
28545a,63.0
15432a,33.0
29780a,42.0
16368a,28.0
14290a,65.0
5517a,43.0
17685a,38.0
434a,30.0
1722a,51.0
26358a,23.0
19351a,38.0
20879a,61.0
28085a,32.0
10607a,50.0
29752a,51.0
1682a,26.0
15134a,46.0
20234a,51.0
25856a,47.0
9038a,22.0
2442a,61.0
15838a,47.0
19085a,52.0
10096a,31.0
21184a,63.0
1179a,47.0
15157a,40.0
6224a,27.0
29661a,29.0
19980a,37.0
20095a,21.0
11198a,48.0
19911a,36.0
31275a,49.0
10350a,44.0
26695a,22.0
22014a,69.0
19293a,44.0
21907a,23.0
18974a,39.0
12556a,46.0
18147a,46.0
20437a,47.0
29980a,41.0
4880a,42.0
23452a,41.0
32300a,49.0
2252a,45.0
2429a,41.0
24750a,42.0
12506a,42.0
5424a,33.0
