ifa,age,workclass,fnlwgt,education,income,dt_1,dt_2
3083a,74,Self-emp-inc,162340,Some-college,<=50K,6/23/19 13:26,6/26/19 13:26
3084a,28,Private,169069,HS-grad,<=50K,6/24/19 4:00,6/28/19 4:00
3085a,23,Private,113601,Some-college,<=50K,6/24/19 4:08,6/27/19 4:08
3086a,20,Self-emp-not-inc,157145,Some-college,<=50K,6/24/19 4:36,7/1/19 4:36
3087a,44,Private,111275,HS-grad,<=50K,6/24/19 7:03,6/27/19 7:03
3088a,46,Local-gov,102076,HS-grad,<=50K,6/25/19 5:08,7/1/19 5:08
3089a,20,?,182117,Some-college,<=50K,6/25/19 6:30,7/7/19 6:30
3090a,51,Self-emp-not-inc,145409,Bachelors,>50K,6/25/19 9:34,7/7/19 9:34
3091a,40,Private,190122,Some-college,<=50K,6/25/19 10:51,7/2/19 10:51
3092a,48,Private,331482,Prof-school,>50K,6/25/19 14:14,6/28/19 14:14
3093a,60,Self-emp-not-inc,170114,,<=50K,6/26/19 1:17,7/8/19 1:17
3094a,48,Self-emp-inc,193188,Bachelors,>50K,6/26/19 1:26,7/5/19 1:26
3095a,46,Local-gov,267588,Bachelors,<=50K,6/26/19 3:28,7/7/19 3:28
3096a,48,Self-emp-inc,200471,Bachelors,>50K,6/26/19 6:28,6/29/19 6:28
3097a,22,?,175586,HS-grad,<=50K,6/26/19 22:10,6/29/19 22:10
3098a,24,Local-gov,322658,Bachelors,<=50K,6/27/19 1:47,7/3/19 1:47
3099a,45,State-gov,263982,Some-college,<=50K,6/27/19 1:53,7/5/19 1:53
3100a,18,Private,266287,12th,<=50K,6/27/19 3:31,7/3/19 3:31
3101a,39,Private,278187,HS-grad,<=50K,6/27/19 7:43,7/3/19 7:43
3102a,65,Self-emp-inc,81413,HS-grad,<=50K,6/27/19 22:08,7/5/19 22:08
3103a,22,Private,221745,Some-college,<=50K,6/27/19 23:16,6/30/19 23:16
3104a,20,Private,140764,Some-college,<=50K,6/28/19 4:04,7/8/19 4:04
3105a,28,Private,206351,Some-college,<=50K,6/28/19 4:35,7/2/19 4:35
3106a,46,Private,176814,Prof-school,>50K,6/28/19 4:40,7/3/19 4:40
3107a,42,Local-gov,245307,Bachelors,>50K,6/28/19 5:40,7/9/19 5:40
3108a,61,State-gov,124971,Doctorate,>50K,6/28/19 6:01,7/8/19 6:01
3109a,28,Private,119545,Some-college,>50K,6/28/19 6:59,7/2/19 6:59
3110a,18,Private,179203,Some-college,<=50K,6/28/19 7:24,7/9/19 7:24
3111a,24,Federal-gov,44075,Bachelors,<=50K,6/28/19 9:29,7/7/19 9:29
3112a,45,Private,178319,Doctorate,>50K,6/28/19 10:16,7/4/19 10:16
3113a,24,Private,219754,HS-grad,<=50K,6/28/19 19:03,7/9/19 19:03
3114a,44,Private,198316,Bachelors,>50K,6/28/19 19:03,7/6/19 19:03
3115a,20,Private,168165,Some-college,<=50K,6/28/19 23:01,7/9/19 23:01
3116a,35,Private,356838,Some-college,<=50K,6/29/19 1:11,7/3/19 1:11
3117a,52,Self-emp-inc,210736,Bachelors,<=50K,6/29/19 4:01,7/6/19 4:01
3118a,25,Private,173212,Assoc-acdm,<=50K,6/29/19 5:24,7/8/19 5:24
3119a,19,Private,130431,5th-6th,<=50K,6/29/19 5:26,7/6/19 5:26
3120a,35,?,169809,Bachelors,<=50K,6/29/19 10:06,7/5/19 10:06
3121a,54,Private,197481,Some-college,<=50K,6/29/19 11:02,7/7/19 11:02
3122a,21,Private,155066,Some-college,<=50K,6/30/19 0:08,7/9/19 0:08
3123a,26,Private,31290,HS-grad,>50K,6/30/19 0:22,7/12/19 0:22
3124a,42,Private,54102,Assoc-voc,<=50K,6/30/19 1:50,7/4/19 1:50
3125a,19,Private,181546,Some-college,<=50K,6/30/19 1:57,7/9/19 1:57
3126a,55,Private,153484,Masters,>50K,6/30/19 2:21,7/10/19 2:21
3127a,44,State-gov,351228,HS-grad,<=50K,6/30/19 2:38,7/12/19 2:38
3128a,25,Private,131976,Bachelors,<=50K,6/30/19 2:50,7/10/19 2:50
3129a,26,Private,200639,Some-college,<=50K,6/30/19 5:21,7/9/19 5:21
3130a,64,Federal-gov,267546,Assoc-acdm,>50K,6/30/19 5:31,7/3/19 5:31
3131a,41,Private,179875,11th,<=50K,6/30/19 6:21,7/5/19 6:21
3132a,25,?,237865,Some-college,<=50K,6/30/19 7:52,7/7/19 7:52
3133a,43,Private,300528,Some-college,<=50K,6/30/19 10:47,7/3/19 10:47
3134a,45,Private,67716,HS-grad,>50K,6/30/19 19:45,7/5/19 19:45
3135a,48,Federal-gov,326048,Bachelors,>50K,6/30/19 19:46,7/5/19 19:46
3136a,60,Private,191188,HS-grad,<=50K,6/30/19 21:00,7/10/19 21:00
3137a,45,Self-emp-not-inc,32172,Some-college,<=50K,7/1/19 5:15,7/7/19 5:15
3138a,51,Private,252903,10th,>50K,7/1/19 6:34,7/3/19 6:34
3139a,37,Federal-gov,334314,HS-grad,<=50K,7/1/19 8:32,7/4/19 8:32
3140a,22,Private,83704,Some-college,<=50K,7/1/19 9:05,7/9/19 9:05
3141a,44,Private,160574,HS-grad,>50K,7/1/19 20:06,7/6/19 20:06
3142a,27,Private,203776,HS-grad,<=50K,7/1/19 20:32,7/13/19 20:32
3143a,47,Local-gov,328610,HS-grad,<=50K,7/1/19 20:33,7/11/19 20:33
3144a,32,Private,295589,Masters,>50K,7/1/19 23:06,7/5/19 23:06
3145a,40,Private,174373,Bachelors,>50K,7/2/19 5:35,7/6/19 5:35
3146a,41,Private,247752,HS-grad,<=50K,7/2/19 5:50,7/4/19 5:50
3147a,32,?,199244,10th,<=50K,7/2/19 6:03,7/13/19 6:03
3148a,26,Private,139992,Bachelors,<=50K,7/2/19 7:36,7/10/19 7:36
3149a,47,Private,95680,Some-college,<=50K,7/2/19 8:06,7/5/19 8:06
3150a,55,Self-emp-inc,189933,HS-grad,<=50K,7/2/19 9:48,7/12/19 9:48
3151a,38,Private,498785,HS-grad,<=50K,7/2/19 10:47,7/13/19 10:47
3152a,24,State-gov,177526,Bachelors,<=50K,7/2/19 22:40,7/12/19 22:40
3153a,64,Self-emp-not-inc,150121,Doctorate,>50K,7/3/19 3:55,7/7/19 3:55
3154a,56,Federal-gov,130454,Bachelors,>50K,7/3/19 4:20,7/14/19 4:20
3155a,41,Private,119079,HS-grad,>50K,7/3/19 6:16,7/15/19 6:16
3156a,33,Private,220939,HS-grad,>50K,7/3/19 7:09,7/13/19 7:09
3157a,33,Private,94235,Prof-school,>50K,7/3/19 7:43,7/12/19 7:43
3158a,21,Private,305874,Some-college,<=50K,7/3/19 8:05,7/11/19 8:05
3159a,59,Local-gov,62020,HS-grad,<=50K,7/3/19 8:40,7/10/19 8:40
3160a,58,Private,235624,Assoc-voc,>50K,7/3/19 9:59,7/14/19 9:59
3161a,43,Local-gov,247514,Masters,<=50K,7/3/19 13:26,7/9/19 13:26
3162a,21,Private,275726,HS-grad,<=50K,7/3/19 19:46,7/13/19 19:46
3163a,45,Private,72896,HS-grad,<=50K,7/3/19 23:17,7/5/19 23:17
3164a,53,Local-gov,110510,HS-grad,>50K,7/4/19 3:06,7/8/19 3:06
3165a,41,Private,173938,Prof-school,>50K,7/4/19 6:51,7/11/19 6:51
3166a,27,Private,200641,10th,<=50K,7/4/19 7:44,7/14/19 7:44
3167a,53,Private,211654,Some-college,>50K,7/4/19 8:11,7/8/19 8:11
3168a,38,Private,242720,Masters,>50K,7/4/19 8:22,7/13/19 8:22
3169a,31,Private,111567,Bachelors,>50K,7/4/19 8:59,7/10/19 8:59
3170a,41,Private,179533,HS-grad,<=50K,7/4/19 8:59,7/6/19 8:59
3171a,22,State-gov,334693,Some-college,<=50K,7/4/19 19:51,7/8/19 19:51
3172a,43,Self-emp-not-inc,198096,Masters,<=50K,7/5/19 0:20,7/9/19 0:20
3173a,41,State-gov,355756,Some-college,<=50K,7/5/19 2:57,7/17/19 2:57
3174a,27,Private,19395,Some-college,<=50K,7/5/19 3:35,7/16/19 3:35
3175a,41,Local-gov,242586,Some-college,<=50K,7/5/19 4:39,7/16/19 4:39
3176a,36,Private,208358,Prof-school,>50K,7/5/19 6:44,7/9/19 6:44
3177a,49,Private,160647,Bachelors,>50K,7/5/19 7:52,7/11/19 7:52
3178a,20,Private,227943,HS-grad,<=50K,7/5/19 8:25,7/15/19 8:25
3179a,58,Self-emp-not-inc,197665,HS-grad,<=50K,7/6/19 2:57,7/9/19 2:57
3180a,35,Self-emp-not-inc,216129,12th,<=50K,7/6/19 6:05,7/15/19 6:05
3181a,30,Local-gov,326104,HS-grad,>50K,7/6/19 8:02,7/17/19 8:02
3182a,21,Private,57211,HS-grad,<=50K,7/6/19 8:13,7/12/19 8:13
3183a,29,Private,100219,Assoc-acdm,<=50K,7/6/19 16:59,7/10/19 16:59
3184a,40,Private,291192,HS-grad,<=50K,7/6/19 18:36,7/10/19 18:36
3185a,54,State-gov,93415,Bachelors,>50K,7/6/19 19:40,7/15/19 19:40
3186a,35,Private,191502,Bachelors,>50K,7/6/19 21:54,7/12/19 21:54
3187a,35,Private,261382,Bachelors,<=50K,7/7/19 0:23,7/10/19 0:23
3188a,40,Private,170230,Bachelors,<=50K,7/7/19 7:42,7/16/19 7:42
3189a,59,Private,374924,HS-grad,<=50K,7/7/19 7:46,7/15/19 7:46
3190a,43,Self-emp-inc,320984,Some-college,<=50K,7/7/19 8:20,7/12/19 8:20
3191a,39,Private,338320,10th,>50K,7/7/19 9:14,7/17/19 9:14
3192a,51,Private,135190,7th-8th,<=50K,7/7/19 10:32,7/17/19 10:32
3193a,71,Private,157909,Some-college,<=50K,7/7/19 20:46,7/19/19 20:46
3194a,33,Private,637222,12th,<=50K,7/7/19 21:41,7/11/19 21:41
3195a,28,Private,430084,HS-grad,<=50K,7/7/19 23:35,7/10/19 23:35
3196a,30,Private,125279,HS-grad,<=50K,7/8/19 2:18,7/19/19 2:18
3197a,20,Private,221955,5th-6th,<=50K,7/8/19 3:11,7/13/19 3:11
3198a,51,Self-emp-inc,180195,HS-grad,<=50K,7/8/19 4:10,7/12/19 4:10
3199a,39,Private,208778,HS-grad,>50K,7/8/19 6:41,7/20/19 6:41
3200a,62,Private,81534,Some-college,>50K,7/8/19 7:25,7/13/19 7:25
3201a,37,Private,325538,HS-grad,<=50K,7/8/19 8:00,7/12/19 8:00
3202a,28,Private,142264,,<=50K,7/8/19 8:16,7/14/19 8:16
3203a,23,Private,128604,HS-grad,<=50K,7/8/19 8:20,7/10/19 8:20
3204a,39,Private,277886,Bachelors,<=50K,7/8/19 9:03,7/13/19 9:03
3205a,50,Self-emp-inc,100029,Bachelors,>50K,7/8/19 11:00,7/14/19 11:00
3206a,31,Private,169269,7th-8th,<=50K,7/8/19 20:36,7/19/19 20:36
3207a,45,Local-gov,160472,Bachelors,>50K,7/8/19 23:23,7/11/19 23:23
3208a,23,?,123983,Bachelors,<=50K,7/9/19 0:11,7/16/19 0:11
3209a,47,Private,297884,10th,<=50K,7/9/19 1:01,7/21/19 1:01
3210a,59,Private,99131,HS-grad,<=50K,7/9/19 3:09,7/19/19 3:09
3211a,32,Private,44392,Assoc-acdm,<=50K,7/9/19 4:00,7/11/19 4:00
3212a,82,?,29441,7th-8th,<=50K,7/9/19 5:35,7/20/19 5:35
3213a,49,Private,199029,Bachelors,>50K,7/9/19 5:55,7/17/19 5:55
3214a,74,Federal-gov,181508,HS-grad,<=50K,7/9/19 6:07,7/18/19 6:07
3215a,22,Private,190625,Some-college,<=50K,7/9/19 6:22,7/20/19 6:22
3216a,32,Private,194740,Some-college,<=50K,7/9/19 6:57,7/12/19 6:57
3217a,34,Private,27380,Bachelors,>50K,7/9/19 7:09,7/18/19 7:09
3218a,59,Private,160631,Bachelors,>50K,7/9/19 7:45,7/13/19 7:45
3219a,36,Private,224531,Bachelors,>50K,7/9/19 9:13,7/15/19 9:13
3220a,59,Private,283005,11th,<=50K,7/9/19 10:14,7/14/19 10:14
3221a,47,Self-emp-inc,101926,Bachelors,>50K,7/9/19 10:25,7/16/19 10:25
3222a,53,Local-gov,135102,HS-grad,<=50K,7/9/19 10:31,7/11/19 10:31
3223a,25,Self-emp-not-inc,113436,Some-college,<=50K,7/9/19 11:59,7/20/19 11:59
3224a,44,Private,248973,Bachelors,<=50K,7/9/19 19:17,7/12/19 19:17
3225a,57,Self-emp-not-inc,225334,Prof-school,>50K,7/9/19 20:31,7/16/19 20:31
3226a,42,Self-emp-not-inc,157562,Bachelors,>50K,7/9/19 23:20,7/11/19 23:20
3227a,58,Local-gov,310085,10th,<=50K,7/10/19 1:17,7/16/19 1:17
3228a,39,Private,129597,Bachelors,<=50K,7/10/19 1:55,7/18/19 1:55
3229a,32,?,53042,HS-grad,<=50K,7/10/19 3:24,7/17/19 3:24
3230a,45,Private,204205,7th-8th,<=50K,7/10/19 5:15,7/12/19 5:15
3231a,47,Private,169324,Bachelors,>50K,7/10/19 5:53,7/12/19 5:53
3232a,52,?,134447,Some-college,<=50K,7/10/19 6:55,7/17/19 6:55
3233a,56,Self-emp-not-inc,236731,1st-4th,<=50K,7/10/19 7:25,7/17/19 7:25
3234a,52,Private,141301,HS-grad,<=50K,7/10/19 8:03,7/18/19 8:03
3235a,34,Private,235124,HS-grad,<=50K,7/10/19 8:04,7/14/19 8:04
3236a,36,Self-emp-not-inc,367020,7th-8th,<=50K,7/10/19 17:07,7/16/19 17:07
3237a,41,Private,149102,HS-grad,<=50K,7/10/19 17:53,7/19/19 17:53
3238a,30,Private,423770,Some-college,<=50K,7/10/19 23:50,7/12/19 23:50
3239a,44,Private,211759,Bachelors,<=50K,7/11/19 4:54,7/22/19 4:54
3240a,17,?,110998,Some-college,<=50K,7/11/19 5:08,7/21/19 5:08
3241a,34,Private,56883,Some-college,<=50K,7/11/19 6:46,7/15/19 6:46
3242a,41,Private,223062,Some-college,<=50K,7/11/19 7:36,7/15/19 7:36
3243a,29,Private,406662,HS-grad,<=50K,7/11/19 7:56,7/23/19 7:56
3244a,25,Private,206600,,<=50K,7/11/19 7:58,7/16/19 7:58
3245a,42,Local-gov,147510,Bachelors,<=50K,7/11/19 8:04,7/22/19 8:04
3246a,48,Private,235646,Some-college,>50K,7/11/19 11:30,7/14/19 11:30
3247a,26,Private,187577,Assoc-voc,<=50K,7/11/19 11:39,7/15/19 11:39
3248a,64,Self-emp-inc,132832,HS-grad,>50K,7/11/19 17:57,7/18/19 17:57
3249a,46,Self-emp-inc,278322,Bachelors,<=50K,7/11/19 17:57,7/23/19 17:57
3250a,38,Private,278924,Bachelors,>50K,7/11/19 18:00,7/21/19 18:00
3251a,49,State-gov,203039,11th,<=50K,7/11/19 19:11,7/20/19 19:11
3252a,23,Private,145651,Some-college,<=50K,7/11/19 19:19,7/17/19 19:19
3253a,46,Local-gov,144531,Bachelors,>50K,7/11/19 19:55,7/19/19 19:55
3254a,30,Private,91145,HS-grad,<=50K,7/11/19 20:09,7/16/19 20:09
3255a,49,Self-emp-not-inc,211762,HS-grad,>50K,7/11/19 20:24,7/18/19 20:24
3256a,47,?,111563,Assoc-voc,<=50K,7/11/19 20:53,7/14/19 20:53
3257a,44,Private,180985,Bachelors,>50K,7/11/19 22:04,7/14/19 22:04
3258a,31,Private,207537,HS-grad,<=50K,7/11/19 23:20,7/18/19 23:20
3259a,19,Private,417657,HS-grad,<=50K,7/12/19 0:04,7/14/19 0:04
3260a,45,Private,189890,Assoc-acdm,<=50K,7/12/19 1:09,7/23/19 1:09
3261a,34,Private,223212,Bachelors,>50K,7/12/19 1:31,7/20/19 1:31
3262a,26,Private,108658,HS-grad,<=50K,7/12/19 1:42,7/22/19 1:42
3263a,38,Self-emp-not-inc,190023,HS-grad,>50K,7/12/19 4:24,7/23/19 4:24
3264a,31,Private,222130,Some-college,<=50K,7/12/19 6:02,7/18/19 6:02
3265a,36,Self-emp-inc,164866,Assoc-acdm,<=50K,7/12/19 6:38,7/22/19 6:38
3266a,31,Private,170983,Bachelors,>50K,7/12/19 6:48,7/20/19 6:48
3267a,30,Private,186269,Bachelors,<=50K,7/12/19 7:01,7/19/19 7:01
3268a,37,Private,286026,HS-grad,>50K,7/12/19 7:34,7/14/19 7:34
3269a,30,Private,403433,Bachelors,>50K,7/12/19 7:44,7/19/19 7:44
3270a,21,?,224209,HS-grad,<=50K,7/12/19 15:03,7/15/19 15:03
3271a,73,Private,123160,10th,<=50K,7/12/19 18:39,7/14/19 18:39
3272a,38,Federal-gov,99527,Masters,>50K,7/12/19 20:06,7/24/19 20:06
3273a,30,Private,123178,10th,<=50K,7/12/19 20:49,7/21/19 20:49
3274a,33,Private,231043,HS-grad,>50K,7/12/19 21:09,7/20/19 21:09
3275a,52,Local-gov,317733,Bachelors,>50K,7/12/19 22:50,7/14/19 22:50
3276a,58,Private,241056,Some-college,<=50K,7/13/19 0:08,7/25/19 0:08
3277a,34,Local-gov,220066,Masters,<=50K,7/13/19 0:32,7/17/19 0:32
3278a,35,Private,180342,HS-grad,<=50K,7/13/19 1:46,7/19/19 1:46
3279a,59,Federal-gov,31840,HS-grad,>50K,7/13/19 1:46,7/15/19 1:46
3280a,45,Private,183168,Bachelors,<=50K,7/13/19 5:55,7/19/19 5:55
3281a,27,Private,386036,Some-college,<=50K,7/13/19 7:55,7/19/19 7:55
3282a,31,Local-gov,446358,Doctorate,>50K,7/13/19 8:44,7/20/19 8:44
3283a,45,Private,28035,Some-college,<=50K,7/13/19 9:04,7/18/19 9:04
3284a,40,Private,282155,HS-grad,<=50K,7/13/19 9:38,7/21/19 9:38
3285a,27,Private,192384,Prof-school,<=50K,7/13/19 9:50,7/25/19 9:50
3286a,19,Private,383637,HS-grad,<=50K,7/13/19 10:01,7/20/19 10:01
3287a,29,Private,457402,5th-6th,<=50K,7/13/19 10:14,7/23/19 10:14
3288a,34,Self-emp-inc,80249,Some-college,<=50K,7/13/19 12:38,7/16/19 12:38
3289a,32,State-gov,159537,Assoc-acdm,<=50K,7/13/19 13:49,7/20/19 13:49
3290a,49,Private,240859,11th,<=50K,7/13/19 20:13,7/19/19 20:13
3291a,33,Private,83446,11th,>50K,7/13/19 21:36,7/22/19 21:36
3292a,74,?,29866,7th-8th,<=50K,7/13/19 23:38,7/17/19 23:38
3293a,62,Private,185503,Bachelors,>50K,7/14/19 0:23,7/21/19 0:23
3294a,39,Self-emp-not-inc,68781,HS-grad,<=50K,7/14/19 1:24,7/18/19 1:24
3295a,43,Private,220589,HS-grad,<=50K,7/14/19 6:34,7/19/19 6:34
3296a,22,Private,51136,Some-college,<=50K,7/14/19 7:25,7/16/19 7:25
3297a,24,Private,54560,HS-grad,<=50K,7/14/19 7:34,7/16/19 7:34
3298a,76,?,28221,HS-grad,>50K,7/14/19 8:12,7/21/19 8:12
3299a,25,Private,201413,Some-college,<=50K,7/14/19 11:51,7/26/19 11:51
3300a,19,Private,40425,Some-college,<=50K,7/14/19 12:31,7/19/19 12:31
3301a,31,Private,189461,Assoc-acdm,<=50K,7/15/19 0:22,7/25/19 0:22
3302a,53,Private,200576,11th,<=50K,7/15/19 0:57,7/18/19 0:57
3303a,61,Private,92691,HS-grad,<=50K,7/15/19 3:10,7/25/19 3:10
3304a,47,Private,664821,Bachelors,<=50K,7/15/19 3:17,7/17/19 3:17
3305a,37,Private,175130,HS-grad,<=50K,7/15/19 3:57,7/19/19 3:57
3306a,50,Self-emp-not-inc,391016,Bachelors,<=50K,7/15/19 5:30,7/27/19 5:30
3307a,27,Private,249315,Some-college,<=50K,7/15/19 5:30,7/24/19 5:30
3308a,58,Private,111169,HS-grad,<=50K,7/15/19 9:48,7/27/19 9:48
3309a,43,Private,334946,HS-grad,<=50K,7/15/19 13:21,7/20/19 13:21
3310a,39,Private,352248,Assoc-acdm,<=50K,7/15/19 15:03,7/23/19 15:03
3311a,36,Private,173804,Some-college,<=50K,7/15/19 18:44,7/24/19 18:44
3312a,56,Private,155449,Bachelors,<=50K,7/15/19 20:01,7/26/19 20:01
3313a,26,Private,73689,HS-grad,<=50K,7/15/19 20:04,7/23/19 20:04
3314a,23,Private,227594,Bachelors,<=50K,7/15/19 21:24,7/22/19 21:24
3315a,47,Private,161676,11th,<=50K,7/15/19 22:27,7/17/19 22:27
3316a,68,Private,75913,12th,<=50K,7/15/19 23:08,7/20/19 23:08
3317a,47,Local-gov,242552,Some-college,<=50K,7/16/19 0:01,7/20/19 0:01
3318a,45,Federal-gov,352094,Some-college,>50K,7/16/19 0:27,7/23/19 0:27
3319a,26,Private,159732,Some-college,<=50K,7/16/19 0:58,7/18/19 0:58
3320a,20,Private,131230,HS-grad,<=50K,7/16/19 2:17,7/26/19 2:17
3321a,46,Private,180695,Some-college,<=50K,7/16/19 2:28,7/18/19 2:28
3322a,37,Private,189922,Assoc-acdm,>50K,7/16/19 2:43,7/25/19 2:43
3323a,37,Private,409189,Some-college,<=50K,7/16/19 2:47,7/26/19 2:47
3324a,43,Private,111252,Some-college,<=50K,7/16/19 4:24,7/24/19 4:24
3325a,59,Private,294395,Masters,<=50K,7/16/19 4:41,7/27/19 4:41
3326a,39,Private,172718,HS-grad,<=50K,7/16/19 4:53,7/18/19 4:53
3327a,32,Private,43403,Some-college,<=50K,7/16/19 5:04,7/24/19 5:04
3328a,63,Private,111963,Some-college,<=50K,7/16/19 5:21,7/18/19 5:21
3329a,45,Private,247869,Bachelors,>50K,7/16/19 5:24,7/21/19 5:24
3330a,59,Private,114032,Bachelors,<=50K,7/16/19 5:32,7/20/19 5:32
3331a,36,?,356838,12th,<=50K,7/16/19 5:46,7/18/19 5:46
3332a,26,Private,179633,HS-grad,<=50K,7/16/19 6:03,7/18/19 6:03
3333a,34,Private,19847,HS-grad,<=50K,7/16/19 6:13,7/22/19 6:13
3334a,41,Private,231689,HS-grad,>50K,7/16/19 6:38,7/27/19 6:38
3335a,26,Private,209942,HS-grad,<=50K,7/16/19 6:47,7/24/19 6:47
3336a,53,Private,197492,HS-grad,<=50K,7/16/19 6:58,7/28/19 6:58
3337a,33,Private,262439,HS-grad,>50K,7/16/19 7:00,7/20/19 7:00
3338a,46,Private,283037,Bachelors,>50K,7/16/19 7:17,7/24/19 7:17
3339a,79,?,144533,HS-grad,<=50K,7/16/19 7:33,7/19/19 7:33
3340a,31,Private,83446,HS-grad,<=50K,7/16/19 7:38,7/18/19 7:38
3341a,24,Private,215443,HS-grad,<=50K,7/16/19 7:49,7/27/19 7:49
3342a,57,Local-gov,268252,HS-grad,<=50K,7/16/19 9:33,7/27/19 9:33
3343a,40,Private,181015,HS-grad,<=50K,7/16/19 9:41,7/26/19 9:41
3344a,41,Self-emp-inc,139916,Assoc-voc,<=50K,7/16/19 9:52,7/25/19 9:52
3345a,20,Private,195770,Some-college,<=50K,7/16/19 11:36,7/24/19 11:36
3346a,45,Private,125194,11th,<=50K,7/16/19 17:33,7/19/19 17:33
3347a,27,Private,58654,Assoc-voc,<=50K,7/16/19 17:34,7/27/19 17:34
3348a,36,Private,252327,5th-6th,<=50K,7/16/19 20:46,7/28/19 20:46
3349a,30,Private,116508,HS-grad,<=50K,7/16/19 21:49,7/25/19 21:49
3350a,36,Private,166988,Bachelors,>50K,7/16/19 21:57,7/24/19 21:57
3351a,25,Private,374163,HS-grad,<=50K,7/16/19 22:21,7/23/19 22:21
3352a,30,?,96851,Some-college,<=50K,7/16/19 22:28,7/19/19 22:28
3353a,31,Private,196788,HS-grad,<=50K,7/17/19 2:07,7/19/19 2:07
3354a,49,Private,186172,HS-grad,>50K,7/17/19 2:53,7/27/19 2:53
3355a,26,Private,245628,11th,<=50K,7/17/19 2:57,7/19/19 2:57
3356a,25,Private,159732,Bachelors,<=50K,7/17/19 3:08,7/21/19 3:08
3357a,29,Private,129856,Assoc-voc,<=50K,7/17/19 3:28,7/24/19 3:28
3358a,24,Private,182812,Some-college,<=50K,7/17/19 3:37,7/25/19 3:37
3359a,41,Private,314322,HS-grad,>50K,7/17/19 3:49,7/24/19 3:49
3360a,35,Private,102976,Masters,>50K,7/17/19 4:58,7/27/19 4:58
3361a,57,Self-emp-inc,42959,Bachelors,>50K,7/17/19 5:03,7/26/19 5:03
3362a,21,Private,256356,11th,<=50K,7/17/19 5:05,7/27/19 5:05
3363a,29,Private,136277,10th,<=50K,7/17/19 5:47,7/21/19 5:47
3364a,36,Private,284616,Some-college,<=50K,7/17/19 8:00,7/24/19 8:00
3365a,20,Private,185554,Some-college,<=50K,7/17/19 9:21,7/26/19 9:21
3366a,51,Private,138847,Bachelors,>50K,7/17/19 9:29,7/27/19 9:29
3367a,39,Private,33487,11th,<=50K,7/17/19 11:07,7/27/19 11:07
3368a,36,Private,84306,Bachelors,<=50K,7/17/19 22:31,7/19/19 22:31
3369a,40,Self-emp-not-inc,223881,Prof-school,>50K,7/18/19 0:11,7/24/19 0:11
3370a,61,Private,149653,HS-grad,<=50K,7/18/19 1:45,7/21/19 1:45
3371a,38,Private,348739,Prof-school,<=50K,7/18/19 2:28,7/30/19 2:28
3372a,20,?,235442,Some-college,<=50K,7/18/19 5:00,7/25/19 5:00
3373a,21,Private,34506,HS-grad,<=50K,7/18/19 6:33,7/29/19 6:33
3374a,40,Private,346964,HS-grad,<=50K,7/18/19 8:07,7/26/19 8:07
3375a,46,Private,192208,10th,<=50K,7/18/19 9:23,7/30/19 9:23
3376a,21,Private,305874,Some-college,<=50K,7/18/19 9:43,7/26/19 9:43
3377a,35,Self-emp-not-inc,462890,10th,<=50K,7/18/19 10:16,7/26/19 10:16
3378a,39,Private,89508,Bachelors,<=50K,7/18/19 14:16,7/24/19 14:16
3379a,38,Self-emp-not-inc,200153,HS-grad,<=50K,7/18/19 16:09,7/29/19 16:09
3380a,30,Private,179446,HS-grad,<=50K,7/19/19 1:37,7/31/19 1:37
3381a,28,Private,208965,,<=50K,7/19/19 3:09,7/25/19 3:09
3382a,32,Private,40142,Bachelors,>50K,7/19/19 4:57,7/21/19 4:57
3383a,46,Self-emp-not-inc,57452,Assoc-voc,>50K,7/19/19 5:12,7/30/19 5:12
3384a,40,Private,327573,Assoc-voc,<=50K,7/19/19 5:38,7/29/19 5:38
3385a,47,Private,151267,HS-grad,>50K,7/19/19 5:53,7/25/19 5:53
3386a,44,Private,265266,10th,<=50K,7/19/19 6:11,7/26/19 6:11
3387a,38,Private,203836,HS-grad,<=50K,7/19/19 6:46,7/22/19 6:46
3388a,51,?,163998,HS-grad,>50K,7/19/19 7:01,7/30/19 7:01
3389a,46,Self-emp-not-inc,28281,Bachelors,>50K,7/19/19 7:56,7/28/19 7:56
3390a,51,Private,293196,Doctorate,>50K,7/19/19 8:02,7/27/19 8:02
3391a,45,Private,214627,Doctorate,>50K,7/19/19 8:57,7/27/19 8:57
3392a,20,Private,368852,Some-college,<=50K,7/19/19 10:05,7/30/19 10:05
3393a,44,Private,353396,Bachelors,<=50K,7/19/19 10:27,7/30/19 10:27
3394a,33,Private,161745,Assoc-voc,<=50K,7/19/19 10:43,7/21/19 10:43
3395a,18,Private,97963,HS-grad,<=50K,7/19/19 19:53,7/23/19 19:53
3396a,61,Self-emp-inc,156542,Prof-school,>50K,7/19/19 20:30,7/29/19 20:30
3397a,50,State-gov,198103,Bachelors,<=50K,7/19/19 20:47,7/25/19 20:47
3398a,47,Federal-gov,55377,HS-grad,<=50K,7/19/19 20:59,7/22/19 20:59
3399a,34,Private,173730,Bachelors,>50K,7/19/19 22:01,7/30/19 22:01
3400a,53,Private,374588,HS-grad,<=50K,7/20/19 1:08,7/25/19 1:08
3401a,39,Self-emp-not-inc,174330,Some-college,<=50K,7/20/19 1:09,7/23/19 1:09
3402a,58,Private,78141,HS-grad,>50K,7/20/19 1:51,7/27/19 1:51
3403a,66,?,190324,HS-grad,<=50K,7/20/19 4:58,7/31/19 4:58
