"Feature Name","Feature Description",Industry,Usecase,Source
"headquarters of the company and the year of establishment (nominal)","Business client characteristics","banking financial service and insurance","customer segmentation",https://www.researchgate.net/publication/276089828_Business_Client_Segmentation_in_Banking_Using_Self-Organizing_Maps
"the most important reasons which affect the selection of a bank for a loan request (likert 1-5)","Operating criterion","banking financial service and insurance","customer segmentation",https://www.researchgate.net/publication/276089828_Business_Client_Segmentation_in_Banking_Using_Self-Organizing_Maps
"credit cards used by a client (binomial 0-1)","Operating criterion","banking financial service and insurance","customer segmentation",https://www.researchgate.net/publication/276089828_Business_Client_Segmentation_in_Banking_Using_Self-Organizing_Maps
"credit cards which a company is planning to use (binomial 0-1)","Operating criterion","banking financial service and insurance","customer segmentation",https://www.researchgate.net/publication/276089828_Business_Client_Segmentation_in_Banking_Using_Self-Organizing_Maps
"the three most important characteristics of a bank (e.g. security and stability, commissions and fees, keeping up with promises) (likert 1-5)","Supply management approach criterion","banking financial service and insurance","customer segmentation",https://www.researchgate.net/publication/276089828_Business_Client_Segmentation_in_Banking_Using_Self-Organizing_Maps
"the three most important characteristics of bank services (e.g. a wide spectrum of services, quality and price ratio and promptness in solving requests) (likert 1-5)","Supply management approach criterion","banking financial service and insurance","customer segmentation",https://www.researchgate.net/publication/276089828_Business_Client_Segmentation_in_Banking_Using_Self-Organizing_Maps
"the major bank where most of the services are used (binomial 0-1)","Situational criterion","banking financial service and insurance","customer segmentation",https://www.researchgate.net/publication/276089828_Business_Client_Segmentation_in_Banking_Using_Self-Organizing_Maps
"level of satisfaction with the current major bank (likert 1-5)","Situational criterion","banking financial service and insurance","customer segmentation",https://www.researchgate.net/publication/276089828_Business_Client_Segmentation_in_Banking_Using_Self-Organizing_Maps
marital_status," is the client married (Yes, No)","banking financial service and insurance","customer segmentation",https://www.csp.com/customer-segmentation-value/#.YQCFPFMzaqA
gender,"Gender of the client","banking financial service and insurance","customer segmentation",https://www.csp.com/customer-segmentation-value/#.YQCFPFMzaqA
location,"Customer location including city and region","banking financial service and insurance","customer segmentation",https://www.csp.com/customer-segmentation-value/#.YQCFPFMzaqA
age,"age of customer","banking financial service and insurance","customer segmentation",https://www.csp.com/customer-segmentation-value/#.YQCFPFMzaqA
income,"annual income of customer","banking financial service and insurance","customer segmentation",https://www.csp.com/customer-segmentation-value/#.YQCFPFMzaqA
"customer value","How many products & services customers purchase and what kind of revenue that generates for the bank - past, current, and predicted for the future","banking financial service and insurance","customer segmentation",https://www.csp.com/customer-segmentation-value/#.YQCFPFMzaqA
"life stage","Slightly different from age, focused instead on customers' journeys through various milestones and markers; for example, graduating college or starting a family","banking financial service and insurance","customer segmentation",https://www.csp.com/customer-segmentation-value/#.YQCFPFMzaqA
attitude,"Customers' subjective stances on things like the financial industry as a whole, online and mobile banking, the economy, and their satisfaction with their bank","banking financial service and insurance","customer segmentation",https://www.csp.com/customer-segmentation-value/#.YQCFPFMzaqA
behavior,"Interactions and transactions between customers and their bank, which channels they use and how often, and which products they adopt","banking financial service and insurance","customer segmentation",https://www.csp.com/customer-segmentation-value/#.YQCFPFMzaqA
generation,"generation eg baby boomers","banking financial service and insurance","customer segmentation",https://www.csp.com/customer-segmentation-value/#.YQCFPFMzaqA
contract," type of customer contract (Month to month, one year, two year",telecommunication,"customer segmentation",https://www.researchgate.net/profile/Ahsan-Rehman/publication/304822719_Customer_Churn_Prediction_Segmentation_and_Fraud_Detection_in_Telecommunication_Industry/links/577bcfd708ae213761cab2e0/Customer-Churn-Prediction-Segmentation-and-Fraud-Detection-in-Telecommunication-Industry.pdf
gender,"Gender of the client",telecommunication,"customer segmentation",https://www.researchgate.net/profile/Ahsan-Rehman/publication/304822719_Customer_Churn_Prediction_Segmentation_and_Fraud_Detection_in_Telecommunication_Industry/links/577bcfd708ae213761cab2e0/Customer-Churn-Prediction-Segmentation-and-Fraud-Detection-in-Telecommunication-Industry.pdf
aon,"age on cellular network in days",telecommunication,"customer segmentation",https://www.researchgate.net/profile/Ahsan-Rehman/publication/304822719_Customer_Churn_Prediction_Segmentation_and_Fraud_Detection_in_Telecommunication_Industry/links/577bcfd708ae213761cab2e0/Customer-Churn-Prediction-Segmentation-and-Fraud-Detection-in-Telecommunication-Industry.pdf
"total outgoing minutes","Total minutes of outgoing call",telecommunication,"customer segmentation",https://www.researchgate.net/profile/Ahsan-Rehman/publication/304822719_Customer_Churn_Prediction_Segmentation_and_Fraud_Detection_in_Telecommunication_Industry/links/577bcfd708ae213761cab2e0/Customer-Churn-Prediction-Segmentation-and-Fraud-Detection-in-Telecommunication-Industry.pdf
"total outgoing revenue","Total revenue generating by outgoing calls",telecommunication,"customer segmentation",https://www.researchgate.net/profile/Ahsan-Rehman/publication/304822719_Customer_Churn_Prediction_Segmentation_and_Fraud_Detection_in_Telecommunication_Industry/links/577bcfd708ae213761cab2e0/Customer-Churn-Prediction-Segmentation-and-Fraud-Detection-in-Telecommunication-Industry.pdf
"total vas revenue","Internet (GPRS), interactive voice response (IVR), ringback tones, Multimedia Message Service (MMS) etc. related usage",telecommunication,"customer segmentation",https://www.researchgate.net/profile/Ahsan-Rehman/publication/304822719_Customer_Churn_Prediction_Segmentation_and_Fraud_Detection_in_Telecommunication_Industry/links/577bcfd708ae213761cab2e0/Customer-Churn-Prediction-Segmentation-and-Fraud-Detection-in-Telecommunication-Industry.pdf
"total incoming minutes","Total minutes of incoming call",telecommunication,"customer segmentation",https://www.researchgate.net/profile/Ahsan-Rehman/publication/304822719_Customer_Churn_Prediction_Segmentation_and_Fraud_Detection_in_Telecommunication_Industry/links/577bcfd708ae213761cab2e0/Customer-Churn-Prediction-Segmentation-and-Fraud-Detection-in-Telecommunication-Industry.pdf
"total incoming revenue","Total revenue generating by incoming calls",telecommunication,"customer segmentation",https://www.researchgate.net/profile/Ahsan-Rehman/publication/304822719_Customer_Churn_Prediction_Segmentation_and_Fraud_Detection_in_Telecommunication_Industry/links/577bcfd708ae213761cab2e0/Customer-Churn-Prediction-Segmentation-and-Fraud-Detection-in-Telecommunication-Industry.pdf
"active days","Total revenue generating days",telecommunication,"customer segmentation",https://www.researchgate.net/profile/Ahsan-Rehman/publication/304822719_Customer_Churn_Prediction_Segmentation_and_Fraud_Detection_in_Telecommunication_Industry/links/577bcfd708ae213761cab2e0/Customer-Churn-Prediction-Segmentation-and-Fraud-Detection-in-Telecommunication-Industry.pdf
"average call distance","Time between two consecutive call",telecommunication,"customer segmentation",https://www.researchgate.net/profile/Ahsan-Rehman/publication/304822719_Customer_Churn_Prediction_Segmentation_and_Fraud_Detection_in_Telecommunication_Industry/links/577bcfd708ae213761cab2e0/Customer-Churn-Prediction-Segmentation-and-Fraud-Detection-in-Telecommunication-Industry.pdf
"total inactive days","Total number of inactive days",telecommunication,"customer segmentation",https://www.researchgate.net/profile/Ahsan-Rehman/publication/304822719_Customer_Churn_Prediction_Segmentation_and_Fraud_Detection_in_Telecommunication_Industry/links/577bcfd708ae213761cab2e0/Customer-Churn-Prediction-Segmentation-and-Fraud-Detection-in-Telecommunication-Industry.pdf
"maximum inactive days","Consecutive number of inactivity days",telecommunication,"customer segmentation",https://www.researchgate.net/profile/Ahsan-Rehman/publication/304822719_Customer_Churn_Prediction_Segmentation_and_Fraud_Detection_in_Telecommunication_Industry/links/577bcfd708ae213761cab2e0/Customer-Churn-Prediction-Segmentation-and-Fraud-Detection-in-Telecommunication-Industry.pdf
"network age days","Scoring date - activation date",telecommunication,"customer segmentation",https://www.researchgate.net/profile/Ahsan-Rehman/publication/304822719_Customer_Churn_Prediction_Segmentation_and_Fraud_Detection_in_Telecommunication_Industry/links/577bcfd708ae213761cab2e0/Customer-Churn-Prediction-Segmentation-and-Fraud-Detection-in-Telecommunication-Industry.pdf
"revenue line-rent average","Average Revenue generating through rent amounts for the entire lease term, and then divides the sum by the number of months in the lease term",telecommunication,"customer segmentation",https://www.researchgate.net/profile/Ahsan-Rehman/publication/304822719_Customer_Churn_Prediction_Segmentation_and_Fraud_Detection_in_Telecommunication_Industry/links/577bcfd708ae213761cab2e0/Customer-Churn-Prediction-Segmentation-and-Fraud-Detection-in-Telecommunication-Industry.pdf
"payment amount average","Average payment amount",telecommunication,"customer segmentation",https://www.researchgate.net/profile/Ahsan-Rehman/publication/304822719_Customer_Churn_Prediction_Segmentation_and_Fraud_Detection_in_Telecommunication_Industry/links/577bcfd708ae213761cab2e0/Customer-Churn-Prediction-Segmentation-and-Fraud-Detection-in-Telecommunication-Industry.pdf
arpu,"Average revenue per user",telecommunication,"customer segmentation",https://www.researchgate.net/profile/Ahsan-Rehman/publication/304822719_Customer_Churn_Prediction_Segmentation_and_Fraud_Detection_in_Telecommunication_Industry/links/577bcfd708ae213761cab2e0/Customer-Churn-Prediction-Segmentation-and-Fraud-Detection-in-Telecommunication-Industry.pdf
location,"Customer location including city and region",telecommunication,"customer segmentation",https://www.researchgate.net/profile/Ahsan-Rehman/publication/304822719_Customer_Churn_Prediction_Segmentation_and_Fraud_Detection_in_Telecommunication_Industry/links/577bcfd708ae213761cab2e0/Customer-Churn-Prediction-Segmentation-and-Fraud-Detection-in-Telecommunication-Industry.pdf
"customer data","Contains all data related to customer's services and contract information",telecommunication,"customer segmentation",https://www.researchgate.net/profile/Ahsan-Rehman/publication/304822719_Customer_Churn_Prediction_Segmentation_and_Fraud_Detection_in_Telecommunication_Industry/links/577bcfd708ae213761cab2e0/Customer-Churn-Prediction-Segmentation-and-Fraud-Detection-in-Telecommunication-Industry.pdf
contract," type of customer contract (Month to month, one year, two year",telecommunication,"customer segmentation",https://link.springer.com/article/10.1057/dbm.2010.21
gender,"Gender of the client",telecommunication,"customer segmentation",https://link.springer.com/article/10.1057/dbm.2010.21
aon,"age on cellular network in days",telecommunication,"customer segmentation",https://link.springer.com/article/10.1057/dbm.2010.21
"total outgoing minutes","Total minutes of outgoing call",telecommunication,"customer segmentation",https://link.springer.com/article/10.1057/dbm.2010.21
"total outgoing revenue","Total revenue generating by outgoing calls",telecommunication,"customer segmentation",https://link.springer.com/article/10.1057/dbm.2010.21
"total vas revenue","Internet (GPRS), interactive voice response (IVR), ringback tones, Multimedia Message Service (MMS) etc. related usage",telecommunication,"customer segmentation",https://link.springer.com/article/10.1057/dbm.2010.21
"total incoming minutes","Total minutes of incoming call",telecommunication,"customer segmentation",https://link.springer.com/article/10.1057/dbm.2010.21
"total incoming revenue","Total revenue generating by incoming calls",telecommunication,"customer segmentation",https://link.springer.com/article/10.1057/dbm.2010.21
"active days","Total revenue generating days",telecommunication,"customer segmentation",https://link.springer.com/article/10.1057/dbm.2010.21
"average call distance","Time between two consecutive call",telecommunication,"customer segmentation",https://link.springer.com/article/10.1057/dbm.2010.21
"total inactive days","Total number of inactive days",telecommunication,"customer segmentation",https://link.springer.com/article/10.1057/dbm.2010.21
"maximum inactive days","Consecutive number of inactivity days",telecommunication,"customer segmentation",https://link.springer.com/article/10.1057/dbm.2010.21
"network age days","Scoring date - activation date",telecommunication,"customer segmentation",https://link.springer.com/article/10.1057/dbm.2010.21
"revenue line-rent average","Average Revenue generating through rent amounts for the entire lease term, and then divides the sum by the number of months in the lease term",telecommunication,"customer segmentation",https://link.springer.com/article/10.1057/dbm.2010.21
"payment amount average","Average payment amount",telecommunication,"customer segmentation",https://link.springer.com/article/10.1057/dbm.2010.21
arpu,"Average revenue per user",telecommunication,"customer segmentation",https://link.springer.com/article/10.1057/dbm.2010.21
location,"Customer location including city and region",telecommunication,"customer segmentation",https://link.springer.com/article/10.1057/dbm.2010.21
"customer data","Contains all data related to customer's services and contract information",telecommunication,"customer segmentation",https://link.springer.com/article/10.1057/dbm.2010.21
"Policy Number","Unique policy identification number",healthcare,"fraud detection",https://arxiv.org/pdf/2102.10978
"Insured Id","Unique ID given to insured",healthcare,"fraud detection",https://arxiv.org/pdf/2102.10978
"Claim Identification Number","Unique claim identification number",healthcare,"fraud detection",https://arxiv.org/pdf/2102.10978
"Benefit Type","Type of benefit (medical / surgical)",healthcare,"fraud detection",https://arxiv.org/pdf/2102.10978
"Claim Status","Current status of the claim",healthcare,"fraud detection",https://arxiv.org/pdf/2102.10978
"Treatment Start Date","Treatment Start Date",healthcare,"fraud detection",https://arxiv.org/pdf/2102.10978
"Treatment End Date","Treatment End Date",healthcare,"fraud detection",https://arxiv.org/pdf/2102.10978
"Claim Settlement Date","Date at which the claims were settled",healthcare,"fraud detection",https://arxiv.org/pdf/2102.10978
"Claim Reported Date","Date at which the claims were reported",healthcare,"fraud detection",https://arxiv.org/pdf/2102.10978
"Claim Billed Amount","Claims amount billed",healthcare,"fraud detection",https://arxiv.org/pdf/2102.10978
"Approved / Allowed Amount","Approved / Allowed Amount",healthcare,"fraud detection",https://arxiv.org/pdf/2102.10978
"Claim Paid Amount","Claims amount paid",healthcare,"fraud detection",https://arxiv.org/pdf/2102.10978
"Medical Service Provider ID","Unique ID given to hospitals",healthcare,"fraud detection",https://arxiv.org/pdf/2102.10978
payment_type,"CASH-IN, CASH-OUT, DEBIT, PAYMENT and TRANSFER","banking financial service and insurance","fraud detection",https://www.kaggle.com/arjunjoshua/predicting-fraud-in-financial-payment-services/data
transaction_amount,"amount of the transaction in local currency","banking financial service and insurance","fraud detection",https://www.kaggle.com/arjunjoshua/predicting-fraud-in-financial-payment-services/data
nameorig,"customer who started the transaction","banking financial service and insurance","fraud detection",https://www.kaggle.com/arjunjoshua/predicting-fraud-in-financial-payment-services/data
oldbalanceorig,"initial balance before the transaction","banking financial service and insurance","fraud detection",https://www.kaggle.com/arjunjoshua/predicting-fraud-in-financial-payment-services/data
newbalanceorig,"customer's balance after the transaction","banking financial service and insurance","fraud detection",https://www.kaggle.com/arjunjoshua/predicting-fraud-in-financial-payment-services/data
namedest,"recipient ID of the transaction","banking financial service and insurance","fraud detection",https://www.kaggle.com/arjunjoshua/predicting-fraud-in-financial-payment-services/data
oldbalancedest,"initial recipient balance before the transaction","banking financial service and insurance","fraud detection",https://www.kaggle.com/arjunjoshua/predicting-fraud-in-financial-payment-services/data
newbalancedest,"recipient's balance after the transaction","banking financial service and insurance","fraud detection",https://www.kaggle.com/arjunjoshua/predicting-fraud-in-financial-payment-services/data
isfraud,"identifies a fraudulent transaction (1) and non fraudulent (0)","banking financial service and insurance","fraud detection",https://www.kaggle.com/arjunjoshua/predicting-fraud-in-financial-payment-services/data
gender,"Gender of the client","banking financial service and insurance","fraud detection",https://thesai.org/Downloads/Volume9No1/Paper_3-Credit_Card_Fraud_Detection_Using_Deep_Learning.pdf
income,"annual income of customer","banking financial service and insurance","fraud detection",https://thesai.org/Downloads/Volume9No1/Paper_3-Credit_Card_Fraud_Detection_Using_Deep_Learning.pdf
"credit history","no credits taken/all credits paid back duly/existing credits paid back duly till now/delay in paying off in the past/critical account/ other credits existing (not at this bank)","banking financial service and insurance","fraud detection",https://thesai.org/Downloads/Volume9No1/Paper_3-Credit_Card_Fraud_Detection_Using_Deep_Learning.pdf
credit_card_purpose,"purpose to use credit card","banking financial service and insurance","fraud detection",https://thesai.org/Downloads/Volume9No1/Paper_3-Credit_Card_Fraud_Detection_Using_Deep_Learning.pdf
"credit amount","amount of money credited","banking financial service and insurance","fraud detection",https://thesai.org/Downloads/Volume9No1/Paper_3-Credit_Card_Fraud_Detection_Using_Deep_Learning.pdf
employment_status,"present employment status of customer","banking financial service and insurance","fraud detection",https://thesai.org/Downloads/Volume9No1/Paper_3-Credit_Card_Fraud_Detection_Using_Deep_Learning.pdf
"installment rate","Installment rate","banking financial service and insurance","fraud detection",https://thesai.org/Downloads/Volume9No1/Paper_3-Credit_Card_Fraud_Detection_Using_Deep_Learning.pdf
"other debtors / guarantors",none/co-applicant/guarantors,"banking financial service and insurance","fraud detection",https://thesai.org/Downloads/Volume9No1/Paper_3-Credit_Card_Fraud_Detection_Using_Deep_Learning.pdf
"present residence since","period of living at a residence","banking financial service and insurance","fraud detection",https://thesai.org/Downloads/Volume9No1/Paper_3-Credit_Card_Fraud_Detection_Using_Deep_Learning.pdf
property_saving_insurance,"real estate/ building society savings agreement/life insurance/no property","banking financial service and insurance","fraud detection",https://thesai.org/Downloads/Volume9No1/Paper_3-Credit_Card_Fraud_Detection_Using_Deep_Learning.pdf
"other installment plans",bank/store/none,"banking financial service and insurance","fraud detection",https://thesai.org/Downloads/Volume9No1/Paper_3-Credit_Card_Fraud_Detection_Using_Deep_Learning.pdf
housing,"Categorical variable indicating home ownership. Values are Rent, Home Mortgage, and Own. If the value is OWN, then the customer is a home owner with no mortgage.","banking financial service and insurance","fraud detection",https://thesai.org/Downloads/Volume9No1/Paper_3-Credit_Card_Fraud_Detection_Using_Deep_Learning.pdf
"existing credits","Number of existing credits at this bank","banking financial service and insurance","fraud detection",https://thesai.org/Downloads/Volume9No1/Paper_3-Credit_Card_Fraud_Detection_Using_Deep_Learning.pdf
job,"unemployed/unskilled - resident/skilled employee/management/highly qualified employee","banking financial service and insurance","fraud detection",https://thesai.org/Downloads/Volume9No1/Paper_3-Credit_Card_Fraud_Detection_Using_Deep_Learning.pdf
foreign_worker_flag,yes/no,"banking financial service and insurance","fraud detection",https://thesai.org/Downloads/Volume9No1/Paper_3-Credit_Card_Fraud_Detection_Using_Deep_Learning.pdf
telephone,"none/registered under customer name","banking financial service and insurance","fraud detection",https://thesai.org/Downloads/Volume9No1/Paper_3-Credit_Card_Fraud_Detection_Using_Deep_Learning.pdf
location,"Customer location including city and region","banking financial service and insurance","fraud detection",https://www.kaggle.com/mlg-ulb/creditcardfraud
transaction_amount,"amount of the transaction in local currency","banking financial service and insurance","fraud detection",https://www.kaggle.com/mlg-ulb/creditcardfraud
first_present_transaction_time,"Time shows the time gap between the first transaction and the following one.","banking financial service and insurance","fraud detection",https://www.kaggle.com/mlg-ulb/creditcardfraud
dob,"date of birth","banking financial service and insurance","fraud detection",https://www.kaggle.com/mlg-ulb/creditcardfraud
"email address","email address","banking financial service and insurance","fraud detection",https://www.kaggle.com/mlg-ulb/creditcardfraud
transaction_amount,"amount of the transaction in local currency","banking financial service and insurance","fraud detection",https://ieeexplore.ieee.org/abstract/document/4280163
pos_no,"POS terminal number","banking financial service and insurance","fraud detection",https://ieeexplore.ieee.org/abstract/document/4280163
account_no,"Account number","banking financial service and insurance","fraud detection",https://ieeexplore.ieee.org/abstract/document/4280163
trans_date/time,"Transaction date/time","banking financial service and insurance","fraud detection",https://ieeexplore.ieee.org/abstract/document/4280163
mcc,"Merchant Category Code","banking financial service and insurance","fraud detection",https://ieeexplore.ieee.org/abstract/document/4280163
card_type,"Card type","banking financial service and insurance","fraud detection",https://ieeexplore.ieee.org/abstract/document/4280163
exp_date,"Expiration Date","banking financial service and insurance","fraud detection",https://ieeexplore.ieee.org/abstract/document/4280163
number_trans,"The number of transactions of this card in the same day/5 days","banking financial service and insurance","fraud detection",https://ieeexplore.ieee.org/abstract/document/4280163
number_failed_trans,"The failure number of transactions of this card in the same day/5days","banking financial service and insurance","fraud detection",https://ieeexplore.ieee.org/abstract/document/4280163
retired_flag," is the client retired (1, 0)",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
marital_status," is the client married (Yes, No)",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
gender,"Gender of the client",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
"total intl calls","Total number of international call",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
"total intl charge","Total spent credits of international calls ",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
msisdn,"mobile number of user",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
"total outgoing revenue","Total revenue generating by outgoing calls",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
"total incoming revenue","Total revenue generating by incoming calls",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
location,"Customer location including city and region",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
"call events","number of outgoing/incoming calls, number of international calls, with corresponding charging units, max calls duration, and number of calls per day",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
"recharge events","the number of recharges per day with corresponding amount units.",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
"subsciber activity","number of subscriber offers per day with their charging units",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
"data events","the downloading volume with corresponding charging units ",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
"sms events","the number of SMS per day with corresponding charging units",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
call_date_time,"Date and time of the call",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
"call recordings","call recordings of the conversation",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
customer_country,"country of the customer",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
address,"current address of customer",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
age,"age of customer",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
income,"annual income of customer",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
"phone number","phone number of customer",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
num_outgoing_calls,"number of outgoing calls",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
num_incoming_calls,"number of incoming calls",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
num_calls,"total number of calls",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
max_call_duration,"max calls duration",telecommunication,"fraud detection",https://www.sciencedirect.com/science/article/pii/S1877050918301182
retired_flag," is the client retired (1, 0)",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
marital_status," is the client married (Yes, No)",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
gender,"Gender of the client",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
"total intl calls","Total number of international call",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
"total intl charge","Total spent credits of international calls ",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
msisdn,"mobile number of user",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
"total outgoing revenue","Total revenue generating by outgoing calls",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
"total incoming revenue","Total revenue generating by incoming calls",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
location,"Customer location including city and region",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
"call events","number of outgoing/incoming calls, number of international calls, with corresponding charging units, max calls duration, and number of calls per day",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
"recharge events","the number of recharges per day with corresponding amount units.",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
"subsciber activity","number of subscriber offers per day with their charging units",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
"data events","the downloading volume with corresponding charging units ",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
"sms events","the number of SMS per day with corresponding charging units",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
call_date_time,"Date and time of the call",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
"call recordings","call recordings of the conversation",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
customer_country,"country of the customer",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
address,"current address of customer",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
age,"age of customer",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
income,"annual income of customer",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
"phone number","phone number of customer",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
num_outgoing_calls,"number of outgoing calls",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
num_incoming_calls,"number of incoming calls",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
num_calls,"total number of calls",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
max_call_duration,"max calls duration",telecommunication,"fraud detection",https://www.iiste.org/Journals/index.php/CEIS/article/download/26217/26854
"fraud-related textual data","Textual description of Fraud call",telecommunication,"fraud detection",https://cybersecurity.springeropen.com/articles/10.1186/s42400-018-0008-5
connection_duration,"length (number of seconds) of the connection",telecommunication,"network traffic analysis and prediction",https://arxiv.org/pdf/1507.05722.pdf
protocol_type,"type of the protocol, e.g. tcp, udp, etc.",telecommunication,"network traffic analysis and prediction",https://arxiv.org/pdf/1507.05722.pdf
network_service,"network service on the destination, e.g., http, telnet, etc.",telecommunication,"network traffic analysis and prediction",https://arxiv.org/pdf/1507.05722.pdf
src_bytes,"number of data bytes from source to destination",telecommunication,"network traffic analysis and prediction",https://arxiv.org/pdf/1507.05722.pdf
dst_bytes,"number of data bytes from destination to source",telecommunication,"network traffic analysis and prediction",https://arxiv.org/pdf/1507.05722.pdf
connection_flag,"normal or error status of the connection",telecommunication,"network traffic analysis and prediction",https://arxiv.org/pdf/1507.05722.pdf
same_host_flag,"1 if connection is from/to the same host/port; 0 otherwise",telecommunication,"network traffic analysis and prediction",https://arxiv.org/pdf/1507.05722.pdf
num_wrong_fragment,"number of wrong fragments",telecommunication,"network traffic analysis and prediction",https://arxiv.org/pdf/1507.05722.pdf
num_urgent_packet,"number of urgent packets",telecommunication,"network traffic analysis and prediction",https://arxiv.org/pdf/1507.05722.pdf
num_hot,"number of hot indicators",telecommunication,"network traffic analysis and prediction",https://arxiv.org/pdf/1507.05722.pdf
num_failed_logins,"number of failed login attempts",telecommunication,"network traffic analysis and prediction",https://arxiv.org/pdf/1507.05722.pdf
logged_in_flag,"1 if successfully logged in; 0 otherwise",telecommunication,"network traffic analysis and prediction",https://arxiv.org/pdf/1507.05722.pdf
num_compromised,"number of compromised conditions",telecommunication,"network traffic analysis and prediction",https://arxiv.org/pdf/1507.05722.pdf
root_shell_flag,"1 if root shell is obtained; 0 otherwise",telecommunication,"network traffic analysis and prediction",https://arxiv.org/pdf/1507.05722.pdf
su_attempted_flag,"1 if su root command attempted; 0 otherwise",telecommunication,"network traffic analysis and prediction",https://arxiv.org/pdf/1507.05722.pdf
num_root,"number of root accesses",telecommunication,"network traffic analysis and prediction",https://arxiv.org/pdf/1507.05722.pdf
num_file_creations,"number of file creation operations",telecommunication,"network traffic analysis and prediction",https://arxiv.org/pdf/1507.05722.pdf
num_shells,"number of shell prompts",telecommunication,"network traffic analysis and prediction",https://arxiv.org/pdf/1507.05722.pdf
num_access_files,"number of operations on access control files",telecommunication,"network traffic analysis and prediction",https://arxiv.org/pdf/1507.05722.pdf
num_outbound_cmds,"number of outbound commands in an ftp session",telecommunication,"network traffic analysis and prediction",https://arxiv.org/pdf/1507.05722.pdf
