ifa,age,age2,empty,workclass,fnlwgt,logfnl,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,label
18567a,1,1,,Federal-gov,1,,Assoc-acdm,1,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Female,0,0,1,United-States,>50K,0
19213a,1,1,,Private,1,,Some-college,1,Divorced,Sales,Unmarried,Black,Male,0,0,1,United-States,<=50K,0
19534a,1,1,,Private,1,,Some-college,1,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
19923a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Transport-moving,Husband,White,Male,3908,0,1,United-States,<=50K,0
19991a,1,1,,Private,1,,Assoc-voc,1,Never-married,Exec-managerial,Own-child,White,Female,0,0,1,United-States,<=50K,0
19993a,1,1,,Private,1,,Bachelors,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,<=50K,0
20162a,1,1,,?,1,,11th,1,Never-married,?,Own-child,Black,Female,0,0,1,United-States,<=50K,0
20338a,1,1,,Never-worked,1,,11th,1,Never-married,?,Own-child,White,Male,0,0,1,United-States,<=50K,0
21162a,1,1,,Private,1,,Masters,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,Germany,<=50K,0
21463a,1,1,,Private,1,,Bachelors,1,Never-married,Adm-clerical,Own-child,Black,Male,0,0,1,United-States,<=50K,0
21469a,1,1,,Private,1,,Masters,1,Divorced,Exec-managerial,Unmarried,Black,Male,15020,0,1,United-States,>50K,0
21864a,1,1,,Private,1,,5th-6th,1,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,1,Mexico,<=50K,0
22513a,1,1,,Private,1,,1st-4th,1,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,1,Mexico,<=50K,0
23030a,1,1,,Self-emp-not-inc,1,,Some-college,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,1,United-States,>50K,0
23377a,1,1,,Local-gov,1,,Some-college,1,Never-married,Adm-clerical,Unmarried,Black,Male,0,0,1,United-States,<=50K,0
23938a,1,1,,Self-emp-not-inc,1,,Some-college,1,Married-civ-spouse,Farming-fishing,Husband,White,Female,0,0,1,United-States,<=50K,0
24034a,1,1,,Local-gov,1,,HS-grad,1,Never-married,Craft-repair,Own-child,White,Male,0,0,1,United-States,<=50K,0
24429a,1,1,,Private,1,,HS-grad,1,Never-married,Transport-moving,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
25013a,1,1,,Private,1,,Masters,1,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,1,United-States,>50K,0
25435a,1,1,,Private,1,,Some-college,1,Married-civ-spouse,Sales,Husband,White,Male,15024,0,1,United-States,>50K,0
25498a,1,1,,Private,1,,Assoc-acdm,1,Never-married,Adm-clerical,Unmarried,White,Male,0,0,1,United-States,<=50K,0
26390a,1,1,,Private,1,,Some-college,1,Separated,Adm-clerical,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
26407a,1,1,,Private,1,,Assoc-voc,1,Separated,Prof-specialty,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
26783a,1,1,,Private,1,,Assoc-acdm,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,Cuba,<=50K,0
27907a,1,1,,Federal-gov,1,,Assoc-acdm,1,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,1,United-States,>50K,0
28581a,1,1,,Private,1,,HS-grad,1,Never-married,Adm-clerical,Unmarried,White,Male,0,0,1,United-States,<=50K,0
28844a,1,1,,Private,1,,HS-grad,1,Never-married,Other-service,Own-child,White,Female,0,0,1,United-States,<=50K,0
28936a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Handlers-cleaners,Wife,White,Male,0,0,1,United-States,>50K,0
29288a,1,1,,Private,1,,Bachelors,1,Never-married,Exec-managerial,Other-relative,White,Male,0,0,1,United-States,<=50K,0
29425a,1,1,,Local-gov,1,,HS-grad,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,0,1,United-States,<=50K,0
30012a,1,1,,Private,1,,Doctorate,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,1,United-States,>50K,0
30727a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,1,United-States,<=50K,0
31051a,1,1,,Private,1,,Bachelors,1,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,1,United-States,>50K,0
31313a,1,1,,Private,1,,Some-college,1,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,<=50K,0
32365a,1,1,,Private,1,,Assoc-voc,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,<=50K,0
32524a,1,1,,Private,1,,HS-grad,1,Divorced,Transport-moving,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
428a,1,1,,Private,1,5.311018115,HS-grad,1,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,1,Dominican-Republic,<=50K,0
609a,1,1,,Local-gov,1,5.531187587,HS-grad,1,Separated,Exec-managerial,Not-in-family,Black,Male,0,0,1,United-States,<=50K,0
755a,1,1,,Private,1,4.682081869,HS-grad,1,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
1000a,1,1,,Self-emp-inc,1,5.518487618,Bachelors,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,1,United-States,>50K,0
1246a,1,1,,Private,1,5.285255673,Some-college,1,Widowed,Other-service,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
1394a,1,1,,Federal-gov,1,5.369496017,HS-grad,1,Never-married,Adm-clerical,Unmarried,Black,Male,0,0,1,United-States,<=50K,0
2017a,1,1,,Private,1,5.240064765,Masters,1,Never-married,Prof-specialty,Not-in-family,White,Female,4865,0,1,United-States,<=50K,0
2489a,1,1,,Self-emp-not-inc,1,5.384426896,7th-8th,1,Married-civ-spouse,Craft-repair,Husband,,Female,0,0,1,United-States,<=50K,0
3758a,1,1,,Self-emp-not-inc,1,5.537718377,Some-college,1,Married-civ-spouse,Farming-fishing,Wife,White,Male,0,0,1,United-States,<=50K,0
4030a,1,1,,Self-emp-inc,1,5.015539975,HS-grad,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,5013,0,1,Greece,<=50K,0
4827a,1,1,,Private,1,5.167822241,Some-college,1,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,0,0,1,Vietnam,<=50K,0
5310a,1,1,,Private,1,4.845327535,Some-college,1,Never-married,Craft-repair,Unmarried,White,Male,0,3004,1,*,>50K,0
5378a,1,1,,Private,1,5.558265652,Masters,1,Separated,Prof-specialty,Not-in-family,White,Female,0,0,1,United-States,>50K,0
5485a,1,1,,Private,1,5.35755372,7th-8th,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,<=50K,0
6603a,1,1,,Private,1,5.303027493,7th-8th,1,Widowed,Machine-op-inspct,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
6638a,1,1,,Federal-gov,1,4.635544061,Doctorate,1,Never-married,Prof-specialty,Not-in-family,White,Male,0,1564,1,United-States,>50K,0
6877a,1,1,,Local-gov,1,5.255504067,Masters,1,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,1,United-States,>50K,0
7315a,1,1,,Private,1,5.465775324,HS-grad,1,Never-married,Craft-repair,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
7782a,1,1,,Private,1,5.075951871,HS-grad,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,0,1,United-States,<=50K,0
8014a,1,1,,Private,1,5.312651182,Some-college,1,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,>50K,0
8034a,1,1,,Private,1,4.971563427,Some-college,1,Divorced,Prof-specialty,Unmarried,White,Male,0,0,1,United-States,<=50K,0
9049a,1,1,,Private,1,5.122825102,12th,1,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,1,United-States,<=50K,0
9387a,1,1,,Self-emp-not-inc,1,5.184572196,HS-grad,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,>50K,0
9408a,1,1,,Private,1,5.245352245,HS-grad,1,Divorced,Transport-moving,Not-in-family,White,Male,0,1980,1,United-States,<=50K,0
9492a,1,1,,Private,1,5.109902375,Bachelors,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,>50K,0
9552a,1,1,,Private,1,5.44251426,HS-grad,1,Never-married,Handlers-cleaners,Unmarried,White,Male,3887,0,1,Nicaragua,<=50K,0
9739a,1,1,,Private,1,4.908790526,Some-college,1,Never-married,Adm-clerical,Own-child,White,Female,0,0,1,United-States,<=50K,0
10283a,1,1,,Private,1,5.252314074,HS-grad,1,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,1,United-States,<=50K,0
10359a,1,1,,Private,1,5.222086678,Some-college,1,Divorced,Other-service,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
10904a,1,1,,Private,1,5.569133869,HS-grad,1,Never-married,Adm-clerical,Unmarried,Black,Male,0,0,1,United-States,<=50K,0
10933a,1,1,,?,1,5.335473948,12th,1,Never-married,?,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
11816a,1,1,,Private,1,5.29641507,Some-college,1,Never-married,Sales,Not-in-family,White,Male,0,0,1,United-States,>50K,0
12407a,1,1,,Self-emp-not-inc,1,,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,1,United-States,<=50K,0
12818a,1,1,,Local-gov,1,,Assoc-acdm,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,>50K,0
13032a,1,1,,Private,1,,Bachelors,1,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,1,United-States,<=50K,0
13112a,1,1,,Self-emp-not-inc,1,,Doctorate,1,Divorced,Sales,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
13200a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,3103,0,1,United-States,>50K,0
13388a,1,1,,Local-gov,1,,HS-grad,1,Married-civ-spouse,Transport-moving,Husband,Black,Female,0,0,1,United-States,<=50K,0
13397a,1,1,,Private,1,,10th,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,<=50K,0
13626a,1,1,,Private,1,,Prof-school,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,>50K,0
13783a,1,1,,Private,1,,Bachelors,1,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,>50K,0
13945a,1,1,,Self-emp-inc,1,,HS-grad,1,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,1,United-States,>50K,0
15623a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Sales,Husband,White,Female,3464,0,1,United-States,<=50K,0
15624a,1,1,,Private,1,,Some-college,1,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
15702a,1,1,,Private,1,,Some-college,1,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,1,United-States,<=50K,0
15851a,1,1,,Private,1,,11th,1,Never-married,Sales,Own-child,White,Female,0,0,1,United-States,<=50K,0
17464a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,>50K,0
17893a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Other-service,Husband,White,Female,0,0,1,United-States,<=50K,0
18226a,1,1,,Private,1,,HS-grad,1,Never-married,Sales,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
18482a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,>50K,0
18543a,1,1,,Self-emp-inc,1,,HS-grad,1,Married-civ-spouse,Prof-specialty,Wife,White,Male,20051,0,1,England,>50K,0
18571a,1,1,,Private,1,,Bachelors,1,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,1,United-States,<=50K,0
18667a,1,1,,Federal-gov,1,,HS-grad,1,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
21306a,1,1,,Private,1,,11th,1,Never-married,Other-service,Own-child,Black,Male,0,1602,1,United-States,<=50K,0
21781a,1,1,,Private,1,,Some-college,1,Never-married,Adm-clerical,Own-child,White,Male,0,0,1,United-States,<=50K,0
22351a,1,1,,?,1,,10th,1,Separated,?,Other-relative,White,Male,0,0,1,Puerto-Rico,<=50K,0
22597a,1,1,,Self-emp-not-inc,1,,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,1,United-States,>50K,0
23219a,1,1,,Private,1,,Assoc-acdm,1,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
23477a,1,1,,Self-emp-not-inc,1,,HS-grad,1,Widowed,Farming-fishing,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
23704a,1,1,,Private,1,,Bachelors,1,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
23734a,1,1,,Private,1,,Bachelors,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,>50K,0
23748a,1,1,,Private,1,,Some-college,1,Never-married,Other-service,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
23749a,1,1,,Private,1,,HS-grad,1,Divorced,Exec-managerial,Unmarried,White,Male,0,0,1,United-States,<=50K,0
24228a,1,1,,Private,1,,Assoc-acdm,1,Never-married,Other-service,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
24592a,1,1,,Private,1,,Bachelors,1,Never-married,Exec-managerial,Not-in-family,White,Male,4650,0,1,United-States,<=50K,0
24618a,1,1,,Local-gov,1,,HS-grad,1,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,<=50K,0
24912a,1,1,,Private,1,,HS-grad,1,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
24947a,1,1,,Private,1,,HS-grad,1,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
25674a,1,1,,Local-gov,1,,Bachelors,1,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,1,United-States,>50K,0
25754a,1,1,,Private,1,,Some-college,1,Never-married,Craft-repair,Unmarried,White,Female,0,0,1,Mexico,<=50K,0
26617a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,1,?,<=50K,0
27086a,1,1,,?,1,,Some-college,1,Never-married,?,Own-child,White,Male,0,0,1,United-States,<=50K,0
27378a,1,1,,Self-emp-not-inc,1,,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1672,1,United-States,<=50K,0
27943a,1,1,,Private,1,,Bachelors,1,Married-civ-spouse,Exec-managerial,Husband,White,Female,7298,0,1,United-States,>50K,0
28184a,1,1,,Private,1,,Some-college,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,Germany,<=50K,0
28396a,1,1,,Private,1,,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,Black,Male,0,0,1,Puerto-Rico,<=50K,0
29862a,1,1,,Private,1,,Bachelors,1,Divorced,Exec-managerial,Unmarried,White,Male,0,0,1,United-States,>50K,0
30187a,1,1,,Private,1,,11th,1,Married-civ-spouse,Other-service,Husband,White,Male,0,0,1,United-States,<=50K,0
30197a,1,1,,Private,1,,Some-college,1,Never-married,Other-service,Own-child,White,Male,0,0,1,United-States,<=50K,0
30199a,1,1,,Private,1,,Assoc-acdm,1,Never-married,Sales,Own-child,White,Female,0,0,1,United-States,<=50K,0
31049a,1,1,,Private,1,,Bachelors,1,Separated,Exec-managerial,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
31961a,1,1,,Self-emp-inc,1,,Assoc-acdm,1,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,1,United-States,<=50K,0
32037a,1,1,,Private,1,,11th,1,Never-married,Craft-repair,Own-child,White,Male,0,0,1,United-States,<=50K,0
112a,1,1,,Private,1,4.81507277,Prof-school,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,>50K,0
243a,1,1,,State-gov,1,5.43759996,Assoc-acdm,1,Married-civ-spouse,Protective-serv,Husband,White,Female,0,0,1,United-States,<=50K,0
567a,1,1,,Self-emp-inc,1,5.275163877,Masters,1,Married-civ-spouse,Exec-managerial,Husband,White,Female,5013,0,1,United-States,<=50K,0
1511a,1,1,,Private,1,5.352072483,Some-college,1,,Prof-specialty,Unmarried,Black,Male,0,0,1,United-States,<=50K,0
1650a,1,1,,Private,1,5.156464344,10th,1,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,1,United-States,<=50K,0
1995a,1,1,,Private,1,5.311126329,Bachelors,1,Never-married,Exec-managerial,Unmarried,White,Female,0,0,1,United-States,>50K,0
2125a,1,1,,Private,1,5.267767594,5th-6th,1,Never-married,Priv-house-serv,Own-child,White,Male,0,0,1,El-Salvador,<=50K,0
2514a,1,1,,?,1,5.241857647,HS-grad,1,Married-civ-spouse,?,Husband,White,Male,3942,0,1,?,<=50K,0
2732a,1,1,,Private,1,5.20450796,Prof-school,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,>50K,0
2996a,1,1,,Local-gov,1,5.224957568,11th,1,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,<=50K,0
3144a,1,1,,Private,1,5.470688268,Masters,1,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,1977,1,United-States,>50K,0
4512a,1,1,,Private,1,5.146131138,Bachelors,1,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
4647a,1,1,,Private,1,5.495082047,HS-grad,1,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,<=50K,0
5329a,1,1,,Private,1,5.243687763,Bachelors,1,Never-married,Exec-managerial,Own-child,White,Male,0,0,1,United-States,<=50K,0
5458a,1,1,,Private,1,5.321822044,Some-college,1,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,1,United-States,>50K,0
5631a,1,1,,Private,1,5.167077964,HS-grad,1,Separated,Sales,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
5849a,1,1,,Self-emp-not-inc,1,5.240386982,Bachelors,1,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,1,United-States,>50K,0
6024a,1,1,,Private,1,5.472893881,HS-grad,1,Married-civ-spouse,Handlers-cleaners,Husband,Black,Female,0,0,1,United-States,<=50K,0
7406a,1,1,,Private,1,5.550134144,Assoc-acdm,1,Divorced,Adm-clerical,Unmarried,White,Male,0,0,1,United-States,<=50K,0
8424a,1,1,,Private,1,5.481220408,HS-grad,1,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,1,United-States,<=50K,0
9142a,1,1,,?,1,5.257620985,10th,1,Never-married,?,Unmarried,White,Male,0,0,1,United-States,<=50K,0
9443a,1,1,,Private,1,5.489523968,Masters,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,1,United-States,<=50K,0
9669a,1,1,,Private,1,5.582481539,11th,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,<=50K,0
10322a,1,1,,Private,1,5.48709169,Some-college,1,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
10734a,1,1,,Private,1,5.318878959,Some-college,1,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,>50K,0
10980a,1,1,,Federal-gov,1,5.021759711,Prof-school,1,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,1,United-States,<=50K,0
11225a,1,1,,Private,1,5.412610047,HS-grad,1,Never-married,Sales,Not-in-family,White,Female,0,0,1,United-States,>50K,0
11632a,1,1,,Private,1,5.032046308,Some-college,1,Never-married,Tech-support,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
11766a,1,1,,Private,1,5.519264752,Bachelors,1,Never-married,Adm-clerical,Own-child,White,Male,0,0,1,United-States,<=50K,0
12323a,1,1,,Private,1,,Some-college,1,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,1,United-States,>50K,0
12735a,1,1,,Private,1,,Some-college,1,Never-married,Sales,Own-child,Black,Male,0,0,1,United-States,<=50K,0
13283a,1,1,,Self-emp-not-inc,1,,Bachelors,1,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,1,United-States,<=50K,0
14316a,1,1,,Private,1,,5th-6th,1,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,<=50K,0
14423a,1,1,,Private,1,,HS-grad,1,Never-married,Craft-repair,Not-in-family,White,Female,3325,0,1,United-States,<=50K,0
14437a,1,1,,Private,1,,Bachelors,1,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,1,Columbia,<=50K,0
15009a,1,1,,Private,1,,1st-4th,1,Married-civ-spouse,Farming-fishing,Husband,White,Female,0,0,1,Mexico,<=50K,0
15310a,1,1,,?,1,,HS-grad,1,Widowed,?,Other-relative,White,Female,0,0,1,United-States,<=50K,0
15415a,1,1,,?,1,,HS-grad,1,Never-married,?,Own-child,White,Male,0,0,1,United-States,<=50K,0
15564a,1,1,,Private,1,,Bachelors,1,Never-married,Adm-clerical,Own-child,White,Female,0,0,1,United-States,<=50K,0
15691a,1,1,,Private,1,,HS-grad,1,Never-married,Other-service,Not-in-family,Black,Male,0,0,1,United-States,<=50K,0
16066a,1,1,,?,1,,5th-6th,1,Never-married,?,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
16458a,1,1,,Private,1,,Bachelors,1,Married-civ-spouse,Prof-specialty,Husband,White,Female,7298,0,1,United-States,>50K,0
16882a,1,1,,Private,1,,Some-college,1,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,1,United-States,<=50K,0
18064a,1,1,,Self-emp-inc,1,,10th,1,Never-married,Sales,Own-child,White,Female,0,0,1,United-States,<=50K,0
18080a,1,1,,Private,1,,HS-grad,1,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
18446a,1,1,,Private,1,,HS-grad,1,Never-married,Craft-repair,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
18508a,1,1,,Local-gov,1,,Some-college,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,<=50K,0
18629a,1,1,,Private,1,,HS-grad,1,Divorced,Craft-repair,Unmarried,White,Male,1506,0,1,United-States,<=50K,0
18928a,1,1,,Private,1,,Some-college,1,Married-civ-spouse,Other-service,Wife,White,Male,0,0,1,United-States,>50K,0
20606a,1,1,,Private,1,,7th-8th,1,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,<=50K,0
20754a,1,1,,Self-emp-not-inc,1,,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,<=50K,0
21297a,1,1,,Private,1,,Masters,1,Never-married,Prof-specialty,Not-in-family,White,Male,0,1504,1,United-States,<=50K,0
22045a,1,1,,Private,1,,Some-college,1,Divorced,Adm-clerical,Unmarried,White,Male,0,0,1,United-States,<=50K,0
22152a,1,1,,Private,1,,Some-college,1,Never-married,Adm-clerical,Own-child,White,Male,0,0,1,United-States,<=50K,0
22209a,1,1,,Self-emp-not-inc,1,,HS-grad,1,Married-civ-spouse,Craft-repair,Wife,Black,Male,0,0,1,United-States,>50K,0
22354a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2105,0,1,United-States,<=50K,0
23164a,1,1,,Private,1,,Masters,1,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
23347a,1,1,,Private,1,,Some-college,1,Married-civ-spouse,Exec-managerial,Own-child,Black,Male,0,0,1,United-States,<=50K,0
24885a,1,1,,Local-gov,1,,Assoc-acdm,1,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
24952a,1,1,,Private,1,,,1,Never-married,Farming-fishing,Other-relative,White,Male,0,0,1,Mexico,<=50K,0
25125a,1,1,,State-gov,1,,Some-college,1,Married-civ-spouse,Adm-clerical,Wife,Black,Male,0,0,1,United-States,<=50K,0
25436a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,1,United-States,<=50K,0
26206a,1,1,,State-gov,1,,HS-grad,1,Never-married,Adm-clerical,Own-child,Black,Male,0,0,1,United-States,<=50K,0
26228a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,<=50K,0
26987a,1,1,,?,1,,Some-college,1,Never-married,?,Own-child,White,Male,0,0,1,United-States,<=50K,0
27020a,1,1,,Private,1,,Bachelors,1,Divorced,Priv-house-serv,Not-in-family,White,Female,0,0,1,?,<=50K,0
27069a,1,1,,Private,1,,Bachelors,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,1,?,<=50K,0
28194a,1,1,,Private,1,,Some-college,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,1,United-States,<=50K,0
28403a,1,1,,Federal-gov,1,,Some-college,1,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
29060a,1,1,,Private,1,,Some-college,1,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,<=50K,0
29462a,1,1,,Private,1,,Some-college,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3103,0,1,United-States,>50K,0
29502a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,>50K,0
30578a,1,1,,State-gov,1,,Some-college,1,Divorced,Machine-op-inspct,Not-in-family,Black,Male,0,0,1,United-States,<=50K,0
30794a,1,1,,Private,1,,Some-college,1,Never-married,Other-service,Own-child,White,Female,0,0,1,United-States,<=50K,0
30829a,1,1,,Local-gov,1,,Masters,1,Never-married,Prof-specialty,Unmarried,White,Male,0,0,1,United-States,<=50K,0
31316a,1,1,,Private,1,,Some-college,1,Divorced,Prof-specialty,Own-child,White,Female,0,0,1,United-States,<=50K,0
31410a,1,1,,Private,1,,Some-college,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,<=50K,0
31856a,1,1,,Self-emp-not-inc,1,,HS-grad,1,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,1,United-States,<=50K,0
31861a,1,1,,Private,1,,Some-college,1,Never-married,Sales,Own-child,White,Male,0,0,1,United-States,<=50K,0
31956a,1,1,,Local-gov,1,,Assoc-voc,1,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
32227a,1,1,,Private,1,,HS-grad,1,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
39a,1,1,,Private,1,4.925074764,Some-college,1,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,?,>50K,0
183a,1,1,,Private,1,5.80191249,Some-college,1,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,1,United-States,<=50K,0
332a,1,1,,Private,1,5.351338202,Bachelors,1,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
1049a,1,1,,Private,1,4.872919261,Some-college,1,Never-married,Sales,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
1181a,1,1,,?,1,5.164397473,HS-grad,1,Married-civ-spouse,?,Husband,White,Male,0,0,1,United-States,>50K,0
1441a,1,1,,Self-emp-inc,1,5.243878525,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1672,1,United-States,<=50K,0
